學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀校際選課人次小計,修讀校際選課人次男,修讀校際選課人次女
105,1,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),10,9,1
105,1,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,碩士班(日間),3,3,0
105,1,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,博士班,2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,碩士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,07141065,電子工程學研究所,博士班,1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,07141066,光電工程學研究所,碩士班(日間),1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,07141068,電信工程學研究所,碩士班(日間),1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),16,14,2
105,1,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,碩士班(日間),3,3,0
105,1,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),2,2,0
105,1,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,博士班,1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,07191079,工業工程學研究所,博士班,1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,07193081,生醫電子與資訊學研究所,碩士班(日間),1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,07194083,醫學工程學研究所,碩士班(日間),4,4,0
105,1,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),25,16,9
105,1,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,碩士班(日間),4,2,2
105,1,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,博士班,1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),10,6,4
105,1,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,碩士班(日間),2,1,1
105,1,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),5,2,3
105,1,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,博士班,3,1,2
105,1,公立,一般大學,0003,國立臺灣大學,08112089,動物科學技術學系,學士班(日間),3,1,2
105,1,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,學士班(日間),14,4,10
105,1,公立,一般大學,0003,國立臺灣大學,08121091,園藝暨景觀學系,碩士班(日間),3,2,1
105,1,公立,一般大學,0003,國立臺灣大學,08191100,農業化學系,學士班(日間),2,1,1
105,1,公立,一般大學,0003,國立臺灣大學,08193096,農業經濟學系,學士班(日間),6,5,1
105,1,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,學士班(日間),22,5,17
105,1,公立,一般大學,0003,國立臺灣大學,08193098,生物產業傳播暨發展學系,碩士班(日間),3,0,3
105,1,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,學士班(日間),8,4,4
105,1,公立,一般大學,0003,國立臺灣大學,08194094,植物病理與微生物學系,碩士班(日間),1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,學士班(日間),15,9,6
105,1,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,碩士班(日間),3,1,2
105,1,公立,一般大學,0003,國立臺灣大學,08211102,森林環境暨資源學系,博士班,1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,08311103,漁業科學研究所,碩士班(日間),1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,08311103,漁業科學研究所,博士班,1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,08411104,獸醫學系,學士班(日間),5,1,4
105,1,公立,一般大學,0003,國立臺灣大學,08411106,分子暨比較病理生物學研究所,碩士班(日間),3,0,3
105,1,公立,一般大學,0003,國立臺灣大學,09121107,醫學系,學士班(日間),4,3,1
105,1,公立,一般大學,0003,國立臺灣大學,09121110,免疫學研究所,碩士班(日間),1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,09131134,護理學系,學士班(日間),8,5,3
105,1,公立,一般大學,0003,國立臺灣大學,09141136,醫學檢驗暨生物技術學系,學士班(日間),1,1,0
105,1,公立,一般大學,0003,國立臺灣大學,09151132,物理治療學系,學士班(日間),5,3,2
105,1,公立,一般大學,0003,國立臺灣大學,09152133,職能治療學系,學士班(日間),1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,學士班(日間),3,2,1
105,1,公立,一般大學,0003,國立臺灣大學,09161129,藥學系,碩士班(日間),1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,09191122,公共衛生學系,學士班(日間),9,7,2
105,1,公立,一般大學,0003,國立臺灣大學,09191127,健康政策與管理研究所,碩士班(日間),1,0,1
105,1,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,學士班(日間),10,1,9
105,1,公立,一般大學,0003,國立臺灣大學,09231144,社會工作學系,碩士班(日間),4,2,2
105,1,公立,一般大學,0004,國立臺灣師範大學,01111001,教育學系,學士班(日間),12,3,9
