學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),合作學校國家(地區)別,合作學校國家(地區)區域別,修讀雙聯學制學生人數本國學生小計,修讀雙聯學制學生人數本國學生男,修讀雙聯學制學生人數本國學生女,修讀雙聯學制學生人數外國學生小計,修讀雙聯學制學生人數外國學生男,修讀雙聯學制學生人數外國學生女
105,2,公立,一般大學,0014,國立高雄師範大學,01141005,體育學系,學士班(日間),大韓民國(南韓),其他亞洲地區,2,0,2,1,1,0
105,2,公立,一般大學,0015,國立彰化師範大學,03131025,輔導與諮商學系,碩士班(日間),美國,北美洲,2,2,0,0,0,0
105,2,公立,一般大學,0015,國立彰化師範大學,04131029,企業管理學系,學士班(日間),美國,北美洲,4,3,1,0,0,0
105,2,公立,一般大學,0015,國立彰化師範大學,05331037,物理學系,學士班(日間),美國,北美洲,2,1,1,0,0,0
105,2,公立,一般大學,0017,國立臺北大學,04122023,財政學系,學士班(日間),瑞士聯邦,歐洲,1,0,1,0,0,0
105,2,公立,一般大學,0017,國立臺北大學,04131019,國際企業研究所,碩士班(日間),美國,北美洲,3,0,3,0,0,0
105,2,公立,一般大學,0017,國立臺北大學,07313039,都市計劃研究所,碩士班(日間),英國,歐洲,2,2,0,0,0,0
105,2,公立,一般大學,0017,國立臺北大學,10152042,休閒運動管理學系,學士班(日間),瑞士聯邦,歐洲,2,0,2,0,0,0
105,2,公立,一般大學,0017,國立臺北大學,10152042,休閒運動管理學系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,一般大學,0018,國立嘉義大學,03111034,應用經濟學系,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
105,2,公立,一般大學,0020,國立東華大學,04111057,會計與財務碩士學位學程,碩士班(日間),日本,其他亞洲地區,3,0,3,0,0,0
105,2,公立,一般大學,0020,國立東華大學,04191066,管理學院管理科學與財金國際學士學位學程,學士班(日間),印度尼西亞共和國,東協,0,0,0,2,1,1
105,2,公立,技專校院,0022,國立臺灣科技大學,04131008,企業管理系,碩士班(日間),澳大利亞,其他亞洲地區,1,1,0,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,04131009,管理學士班,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,04199011,科技管理研究所,碩士班(日間),澳大利亞,其他亞洲地區,1,1,0,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,04199013,管理學院MBA,碩士班(日間),澳大利亞,其他亞洲地區,1,0,1,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,06131016,資訊管理系,碩士班(日間),印度尼西亞共和國,東協,0,0,0,1,1,0
105,2,公立,技專校院,0022,國立臺灣科技大學,06131016,資訊管理系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,06131020,資訊工程系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,07112028,材料科學與工程系,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,碩士班(日間),日本,其他亞洲地區,1,1,0,1,1,0
105,2,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,碩士班(日間),捷克共和國,歐洲,2,0,2,2,2,0
105,2,公立,技專校院,0022,國立臺灣科技大學,07141018,電子工程系,學士班(日間),美國,北美洲,1,1,0,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,07151023,機械工程系,博士班,日本,其他亞洲地區,1,1,0,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,07321025,營建工程系,博士班,日本,其他亞洲地區,1,0,1,0,0,0
105,2,公立,技專校院,0022,國立臺灣科技大學,07321025,營建工程系,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
