學年度,設立別,學校類別,學校統計處代碼,學校名稱,編制內外,年齡組別,總計,專任教師數-一般教師-教授,專任教師數-一般教師-副教授,專任教師數-一般教師-助理教授,專任教師數-一般教師-講師,專任教師數-專案教學人員-教授,專任教師數-專案教學人員-副教授,專任教師數-專案教學人員-助理教授,專任教師數-專案教學人員-講師,專任教師數-專業技術人員及教師-教授,專任教師數-專業技術人員及教師-副教授,專任教師數-專業技術人員及教師-助理教授,專任教師數-專業技術人員及教師-講師,專任教師數-其他教師
110,公立,一般大學,0012,國立臺灣海洋大學,編制外,35歲至未滿40歲,4,0,0,0,0,0,0,4,0,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制外,40歲至未滿45歲,4,0,0,0,0,0,0,2,1,0,0,1,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制外,55歲至未滿60歲,1,0,0,0,0,0,0,0,1,0,0,0,0,0
110,公立,一般大學,0012,國立臺灣海洋大學,編制外,60歲至未滿65歲,2,0,0,0,0,0,0,0,0,0,0,2,0,0
110,公立,一般大學,0013,國立中正大學,編制內,30歲至未滿35歲,9,0,0,9,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制內,35歲至未滿40歲,29,0,7,21,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0013,國立中正大學,編制內,40歲至未滿45歲,64,15,30,18,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0013,國立中正大學,編制內,45歲至未滿50歲,78,34,33,9,0,0,0,0,0,0,0,0,0,2
110,公立,一般大學,0013,國立中正大學,編制內,50歲至未滿55歲,110,68,35,7,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制內,55歲至未滿60歲,118,83,33,1,0,0,0,0,0,0,1,0,0,0
110,公立,一般大學,0013,國立中正大學,編制內,60歲至未滿65歲,90,71,17,0,1,0,0,0,0,1,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制內,65歲以上,13,13,0,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,30歲至未滿35歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,35歲至未滿40歲,3,0,0,0,0,0,0,1,2,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,40歲至未滿45歲,3,0,0,0,0,0,0,3,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,45歲至未滿50歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,50歲至未滿55歲,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,55歲至未滿60歲,4,0,0,0,0,0,1,0,3,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,60歲至未滿65歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0013,國立中正大學,編制外,65歲以上,4,0,0,0,0,4,0,0,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制內,35歲至未滿40歲,6,0,1,5,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制內,40歲至未滿45歲,26,4,11,11,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制內,45歲至未滿50歲,47,19,19,9,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制內,50歲至未滿55歲,60,33,20,4,0,0,0,0,0,0,0,0,0,3
110,公立,一般大學,0014,國立高雄師範大學,編制內,55歲至未滿60歲,84,52,21,6,1,0,0,0,0,0,0,0,0,4
110,公立,一般大學,0014,國立高雄師範大學,編制內,60歲至未滿65歲,47,39,6,2,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制內,65歲以上,6,5,1,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制外,30歲至未滿35歲,1,0,0,0,0,0,0,1,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制外,35歲至未滿40歲,3,0,0,0,0,0,0,3,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制外,40歲至未滿45歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0014,國立高雄師範大學,編制外,55歲至未滿60歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,35歲至未滿40歲,14,0,4,10,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,40歲至未滿45歲,36,12,9,14,1,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,45歲至未滿50歲,61,27,23,10,0,0,0,0,0,0,0,0,0,1
110,公立,一般大學,0015,國立彰化師範大學,編制內,50歲至未滿55歲,82,52,21,5,4,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,55歲至未滿60歲,93,58,26,9,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,60歲至未滿65歲,58,35,19,2,2,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制內,65歲以上,7,7,0,0,0,0,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制外,30歲至未滿35歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制外,35歲至未滿40歲,5,0,0,0,0,0,0,5,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制外,40歲至未滿45歲,5,0,0,0,0,0,0,5,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制外,45歲至未滿50歲,2,0,0,0,0,0,0,2,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制外,50歲至未滿55歲,5,0,0,0,0,2,1,2,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制外,55歲至未滿60歲,2,0,0,0,0,2,0,0,0,0,0,0,0,0
110,公立,一般大學,0015,國立彰化師範大學,編制外,60歲至未滿65歲,1,0,0,0,0,1,0,0,0,0,0,0,0,0
