學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),學費收費基準,雜費收費基準,備註
107,公立,一般大學,0005,國立成功大學,07151042,機械工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07121070,環境工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,學士班(日間),17830,7770,
107,公立,一般大學,0005,國立成功大學,10411098,交通管理科學系,學士班(日間),17830,7770,
107,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,學士班(日間),17830,7770,
107,公立,一般大學,0005,國立成功大學,05421029,統計學系,學士班(日間),17830,7770,
107,公立,一般大學,0005,國立成功大學,04111120,會計學系,學士班(日間),17830,7770,
107,公立,一般大學,0005,國立成功大學,09151082,物理治療學系,學士班(日間),17990,13050,
107,公立,一般大學,0005,國立成功大學,09152089,職能治療學系,學士班(日間),17990,13050,
107,公立,一般大學,0005,國立成功大學,09141094,醫學檢驗生物技術學系,學士班(日間),17990,13050,
107,公立,一般大學,0005,國立成功大學,09161086,藥學系,學士班(日間),17990,13050,
107,公立,一般大學,0005,國立成功大學,03131117,心理學系,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,03111114,經濟學系,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07141032,電機工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,02123113,工業設計學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07311075,建築學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07313076,都市計劃學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,05111003,生命科學系,學士班(日間),17990,11260,
107,公立,一般大學,0005,國立成功大學,05121008,生物科技與產業科學系,學士班(日間),17990,11260,
107,公立,一般大學,0005,國立成功大學,99999102,全校不分系學士學位學程,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,04211001,法律學系,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,03121115,政治學系,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,02221110,歷史學系,學士班(日間),17830,7380,
107,公立,一般大學,0005,國立成功大學,07321049,土木工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,07241064,資源工程學系,學士班(日間),17990,11500,
107,公立,一般大學,0005,國立成功大學,09121077,醫學系,學士班(日間),24030,15520,
107,公立,一般大學,0005,國立成功大學,09131090,護理學系,學士班(日間),17990,13050,
107,公立,一般大學,0006,國立中興大學,02322005,中國文學系,學士班(日間),16861,6997,
107,公立,一般大學,0006,國立中興大學,02221007,歷史學系,學士班(日間),16861,6997,
107,公立,一般大學,0006,國立中興大學,07111055,化學工程學系,學士班(日間),17003,10874,
107,公立,一般大學,0006,國立中興大學,05292082,水土保持學系,學士班(日間),17003,10649,
107,公立,一般大學,0006,國立中興大學,07151050,機械工程學系,學士班(日間),17003,10874,
107,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,學士班(日間),17003,10649,
