,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所名稱,教師總數,男,女,男,女,男,女,男,女,男,女,男,女,總計 ,男,女
,101,公立,一般大學,5,國立成功大學,熱帶植物科學研究所,6,3,3,1,0,0,0,2,3,0,0,0,0,6,3,3
,101,公立,一般大學,5,國立成功大學,生物科技研究所,8,5,3,0,1,3,0,2,2,0,0,0,0,8,5,3
,101,公立,一般大學,5,國立成功大學,微生物及免疫學研究所,12,7,5,3,4,0,0,4,1,0,0,0,0,12,7,5
,101,公立,一般大學,5,國立成功大學,生物化學暨分子生物學研究所,14,11,3,5,2,1,0,5,0,0,1,0,0,13,11,2
,101,公立,一般大學,5,國立成功大學,生物訊息傳遞研究所,8,6,2,0,0,4,0,2,2,0,0,0,0,8,6,2
,101,公立,一般大學,5,國立成功大學,化學系,25,19,6,12,3,5,1,0,0,1,0,1,2,21,17,4
,101,公立,一般大學,5,國立成功大學,地球科學系,16,14,2,6,0,6,1,2,1,0,0,0,0,16,14,2
,101,公立,一般大學,5,國立成功大學,物理學系,38,33,5,20,2,7,2,4,0,0,0,2,1,35,31,4
,101,公立,一般大學,5,國立成功大學,太空天文與電漿科學研究所碩士班,6,6,0,2,0,3,0,1,0,0,0,0,0,6,6,0
,101,公立,一般大學,5,國立成功大學,海洋科技與事務研究所,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
,101,公立,一般大學,5,國立成功大學,數學系,30,26,4,12,0,6,3,8,1,0,0,0,0,30,26,4
,101,公立,一般大學,5,國立成功大學,統計學系,17,11,6,3,2,6,2,2,2,0,0,0,0,17,11,6
,101,公立,一般大學,5,國立成功大學,電機工程學系,80,76,4,48,2,20,1,7,1,0,0,1,0,79,75,4
,101,公立,一般大學,5,國立成功大學,光電科學與工程學系,20,18,2,6,0,9,2,3,0,0,0,0,0,20,18,2
,101,公立,一般大學,5,國立成功大學,資訊工程學系,39,36,3,20,1,9,1,7,1,0,0,0,0,39,36,3
,101,公立,一般大學,5,國立成功大學,製造資訊與系統研究所,2,1,1,0,0,1,0,0,1,0,0,0,0,2,1,1
,101,公立,一般大學,5,國立成功大學,機械工程學系,54,51,3,36,2,10,1,5,0,0,0,0,0,54,51,3
,101,公立,一般大學,5,國立成功大學,航空太空工程學系,41,40,1,27,0,11,0,2,0,0,0,0,1,40,40,0
,101,公立,一般大學,5,國立成功大學,系統及船舶機電工程學系,19,19,0,11,0,6,0,1,0,0,0,1,0,18,18,0
,101,公立,一般大學,5,國立成功大學,土木工程學系,34,33,1,15,0,15,1,2,0,1,0,0,0,33,32,1
,101,公立,一般大學,5,國立成功大學,化學工程學系,37,32,5,25,3,4,0,2,2,1,0,0,0,36,31,5
,101,公立,一般大學,5,國立成功大學,材料科學及工程學系,31,29,2,19,2,4,0,6,0,0,0,0,0,31,29,2
,101,公立,一般大學,5,國立成功大學,資源工程學系,19,18,1,11,0,4,0,2,1,1,0,0,0,18,17,1
,101,公立,一般大學,5,國立成功大學,測量及空間資訊學系,13,13,0,2,0,7,0,3,0,1,0,0,0,12,12,0
,101,公立,一般大學,5,國立成功大學,環境工程學系,18,15,3,12,1,1,0,2,2,0,0,0,0,18,15,3
,101,公立,一般大學,5,國立成功大學,水利及海洋工程學系,24,22,2,13,0,5,0,4,2,0,0,0,0,24,22,2
,101,公立,一般大學,5,國立成功大學,生物醫學工程學系,11,11,0,6,0,0,0,5,0,0,0,0,0,11,11,0
,101,公立,一般大學,5,國立成功大學,工程科學系,24,23,1,16,0,3,0,4,1,0,0,0,0,24,23,1
,101,公立,一般大學,5,國立成功大學,建築學系,27,23,4,7,1,9,1,5,1,2,1,0,0,24,21,3
,101,公立,一般大學,5,國立成功大學,都巿計劃學系,16,11,5,4,0,4,1,3,3,0,0,0,1,15,11,4
,101,公立,一般大學,5,國立成功大學,醫學系,120,107,13,53,2,38,6,12,3,4,2,0,0,114,103,11
,101,公立,一般大學,5,國立成功大學,臨床醫學研究所,10,9,1,2,0,4,0,3,1,0,0,0,0,10,9,1
,101,公立,一般大學,5,國立成功大學,分子醫學研究所,7,4,3,1,3,2,0,1,0,0,0,0,0,7,4,3
,101,公立,一般大學,5,國立成功大學,生理學研究所,11,8,3,5,1,1,2,2,0,0,0,0,0,11,8,3
,101,公立,一般大學,5,國立成功大學,細胞生物與解剖學研究所,9,7,2,2,0,1,1,3,0,1,1,0,0,7,6,1
,101,公立,一般大學,5,國立成功大學,公共衛生研究所,8,4,4,4,1,0,1,0,2,0,0,0,0,8,4,4
,101,公立,一般大學,5,國立成功大學,工業衛生學科暨環境醫學研究所,9,8,1,5,1,1,0,2,0,0,0,0,0,9,8,1
,101,公立,一般大學,5,國立成功大學,藥理學研究所,7,6,1,4,1,1,0,1,0,0,0,0,0,7,6,1
,101,公立,一般大學,5,國立成功大學,臨床藥學與藥物科技研究所,9,5,4,2,2,3,0,0,2,0,0,0,0,9,5,4
,101,公立,一般大學,5,國立成功大學,物理治療學系,10,2,8,1,2,0,3,0,3,1,0,0,0,9,1,8
,101,公立,一般大學,5,國立成功大學,職能治療學系,11,2,9,0,1,2,0,0,7,0,1,0,0,10,2,8
,101,公立,一般大學,5,國立成功大學,護理學系,16,0,16,0,4,0,6,0,4,0,2,0,0,14,0,14
,101,公立,一般大學,5,國立成功大學,健康照護科學研究所,4,1,3,1,3,0,0,0,0,0,0,0,0,4,1,3
,101,公立,一般大學,5,國立成功大學,醫學檢驗生物技術學系,13,6,7,3,3,1,3,2,1,0,0,0,0,13,6,7
,101,公立,一般大學,5,國立成功大學,口腔醫學研究所,11,7,4,2,1,3,2,2,1,0,0,0,0,11,7,4
,101,公立,一般大學,5,國立成功大學,體育健康與休閒研究所,8,5,3,0,2,4,0,1,1,0,0,0,0,8,5,3
,101,公立,一般大學,5,國立成功大學,交通管理科學系,21,16,5,8,0,5,3,3,1,0,0,0,1,20,16,4
,101,公立,一般大學,5,國立成功大學,老年學研究所,4,0,4,0,0,0,2,0,2,0,0,0,0,4,0,4
,101,公立,一般大學,5,國立成功大學,通識教育中心,3,2,1,1,0,0,0,0,0,0,0,1,1,1,1,0
,101,公立,一般大學,5,國立成功大學,計算機與網路中心,4,2,2,0,0,0,0,0,1,2,1,0,0,1,0,1
,101,公立,一般大學,5,國立成功大學,軍訓教官,10,7,3,0,0,0,0,0,0,0,0,7,3,0,0,0
,101,公立,一般大學,5,國立成功大學,校長,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
,101,公立,一般大學,5,國立成功大學,其他,23,8,15,0,0,3,3,1,2,2,3,2,7,9,4,5
,101,公立,一般大學,6,國立中興大學,教師專業發展研究所,3,2,1,0,0,1,1,1,0,0,0,0,0,3,2,1
,101,公立,一般大學,6,國立中興大學,台灣文學與跨國文化研究所,7,4,3,1,1,1,1,2,1,0,0,0,0,7,4,3
,101,公立,一般大學,6,國立中興大學,中國文學系,23,12,11,5,3,3,2,4,1,0,1,0,4,18,12,6
,101,公立,一般大學,6,國立中興大學,外國語文學系,27,10,17,2,5,3,6,2,3,3,3,0,0,21,7,14
,101,公立,一般大學,6,國立中興大學,歷史學系,21,15,6,6,3,2,1,7,0,0,1,0,1,19,15,4
,101,公立,一般大學,6,國立中興大學,應用經濟學系,14,8,6,4,3,2,1,2,2,0,0,0,0,14,8,6
,101,公立,一般大學,6,國立中興大學,國際政治研究所,7,5,2,3,1,1,0,1,0,0,0,0,1,6,5,1
,101,公立,一般大學,6,國立中興大學,國家政策與公共事務研究所,7,6,1,3,0,1,0,1,0,1,1,0,0,5,5,0
,101,公立,一般大學,6,國立中興大學,圖書資訊學研究所,5,1,4,0,1,0,2,1,1,0,0,0,0,5,1,4
,101,公立,一般大學,6,國立中興大學,會計學系,9,4,5,1,1,3,3,0,1,0,0,0,0,9,4,5
,101,公立,一般大學,6,國立中興大學,企業管理學系,16,10,6,3,1,4,0,3,3,0,0,0,2,14,10,4
,101,公立,一般大學,6,國立中興大學,財務金融學系,14,13,1,9,1,2,0,2,0,0,0,0,0,14,13,1
