學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀輔系人次小計,修讀輔系人次男,修讀輔系人次女
105,1,公立,一般大學,0006,國立中興大學,07211081,食品暨應用生物科技學系,學士班(日間),2,1,1
105,1,公立,一般大學,0006,國立中興大學,07312061,景觀與遊憩學士學位學程,學士班(日間),2,0,2
105,1,公立,一般大學,0006,國立中興大學,07321054,土木工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0006,國立中興大學,08111063,農藝學系,學士班(日間),4,2,2
105,1,公立,一般大學,0006,國立中興大學,08112066,動物科學系,學士班(日間),2,0,2
105,1,公立,一般大學,0006,國立中興大學,08121067,園藝學系,學士班(日間),1,0,1
105,1,公立,一般大學,0006,國立中興大學,08191083,土壤環境科學系,學士班(日間),11,5,6
105,1,公立,一般大學,0006,國立中興大學,08193078,國際農企業學士學位學程,學士班(日間),5,2,3
105,1,公立,一般大學,0006,國立中興大學,08194068,植物病理學系,學士班(日間),2,2,0
105,1,公立,一般大學,0006,國立中興大學,08211086,森林學系,學士班(日間),3,1,2
105,1,公立,一般大學,0007,國立陽明交通大學,02299008,人文社會學系,學士班(日間),11,3,8
105,1,公立,一般大學,0007,國立陽明交通大學,02311005,外國語文學系,學士班(日間),12,1,11
105,1,公立,一般大學,0007,國立陽明交通大學,03211015,傳播與科技學系,學士班(日間),5,1,4
105,1,公立,一般大學,0007,國立陽明交通大學,04121020,資訊管理與財務金融學系,學士班(日間),1,0,1
105,1,公立,一般大學,0007,國立陽明交通大學,04131018,管理科學系,學士班(日間),7,2,5
105,1,公立,一般大學,0007,國立陽明交通大學,05121028,生物科技學系,學士班(日間),13,10,3
105,1,公立,一般大學,0007,國立陽明交通大學,05331041,電子物理學系,學士班(日間),2,2,0
105,1,公立,一般大學,0007,國立陽明交通大學,05411045,應用數學系,學士班(日間),4,3,1
105,1,公立,一般大學,0007,國立陽明交通大學,06131058,資訊工程學系,學士班(日間),3,2,1
105,1,公立,一般大學,0007,國立陽明交通大學,07141050,電機工程學系,學士班(日間),4,3,1
105,1,公立,一般大學,0007,國立陽明交通大學,07141051,電子工程學系,學士班(日間),1,0,1
105,1,公立,一般大學,0007,國立陽明交通大學,07141055,光電工程學系,學士班(日間),3,3,0
105,1,公立,一般大學,0007,國立陽明交通大學,07141074,奈米科學及工程學士學位學程,學士班(日間),1,0,1
105,1,公立,一般大學,0007,國立陽明交通大學,07151070,機械工程學系,學士班(日間),8,8,0
105,1,公立,一般大學,0007,國立陽明交通大學,07191075,工業工程與管理學系,學士班(日間),2,1,1
105,1,公立,一般大學,0007,國立陽明交通大學,07321071,土木工程學系,學士班(日間),3,3,0
105,1,公立,一般大學,0007,國立陽明交通大學,10411086,運輸與物流管理學系,學士班(日間),3,2,1
105,1,公立,一般大學,0008,國立中央大學,02311007,英美語文學系,學士班(日間),7,2,5
105,1,公立,一般大學,0008,國立中央大學,02311008,法國語文學系,學士班(日間),9,2,7
105,1,公立,一般大學,0008,國立中央大學,02322006,中國文學系,學士班(日間),2,0,2
105,1,公立,一般大學,0008,國立中央大學,03111013,經濟學系,學士班(日間),6,3,3
105,1,公立,一般大學,0008,國立中央大學,03199020,客家語文暨社會科學學系,學士班(日間),3,0,3
105,1,公立,一般大學,0008,國立中央大學,04121024,財務金融學系,學士班(日間),3,1,2
105,1,公立,一般大學,0008,國立中央大學,04131023,企業管理學系,學士班(日間),12,8,4
105,1,公立,一般大學,0008,國立中央大學,05111031,生命科學系,學士班(日間),2,2,0
