學年度,設立別,學校類別,學校統計處代碼,學校名稱,是否為教育部全部授權自審學校,專任教師升等方式,專任教師申請升等之人數(A),專任教師通過升等之各職級人數-升等教授人數(B),專任教師通過升等之各職級人數-升等副教授人數(C),專任教師通過升等之各職級人數-升等助理教授人數(D),專任教師通過升等之各職級人數-小計((E)=B+C+D),專任教師通過升等比率(%)(F)=(E/A)*100%
106,私立,技專校院,1055,中華醫事科技大學,否,教學實務(技術報告),0,0,1,0,1,0
106,私立,技專校院,1055,中華醫事科技大學,否,學位論文(文憑送審),0,0,2,0,2,0
106,私立,技專校院,1056,東南科技大學,否,專門著作,0,0,0,0,0,0
106,私立,技專校院,1056,東南科技大學,否,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1057,德明財經科技大學,否,專門著作,1,0,0,0,0,0
106,私立,技專校院,1057,德明財經科技大學,否,教學實務(技術報告),2,1,0,0,1,50
106,私立,一般大學,1058,明道學校財團法人明道大學,否,專門著作,5,2,2,0,4,80
106,私立,一般大學,1058,明道學校財團法人明道大學,否,學位論文(文憑送審),4,0,0,4,4,100
106,私立,技專校院,1061,中華學校財團法人中華科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1062,僑光科技大學,否,專門著作,0,0,2,0,2,0
106,私立,技專校院,1062,僑光科技大學,否,教學實務(技術報告),0,0,1,0,1,0
106,私立,技專校院,1063,廣亞學校財團法人育達科技大學,否,專門著作,0,0,0,0,0,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,否,專門著作,1,0,0,0,0,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,否,應用科技(技術報告),1,0,0,0,0,0
106,私立,技專校院,1064,美和學校財團法人美和科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1065,吳鳳科技大學,否,學位論文(文憑送審),0,0,1,1,2,0
106,私立,技專校院,1066,環球學校財團法人環球科技大學,否,專門著作,0,1,1,1,3,0
106,私立,技專校院,1066,環球學校財團法人環球科技大學,否,藝術作品(作品及成就),0,0,0,1,1,0
106,私立,一般大學,1067,台灣首府學校財團法人台灣首府大學,否,專門著作,3,0,0,0,0,0
106,私立,技專校院,1068,中州學校財團法人中州科技大學,是,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1069,修平學校財團法人修平科技大學,否,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,否,專門著作,3,0,3,0,3,100
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,否,教學實務(技術報告),0,0,2,1,3,0
106,私立,技專校院,1070,長庚學校財團法人長庚科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1071,城市學校財團法人臺北城市科技大學,否,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,否,專門著作,1,1,0,0,1,100
106,私立,技專校院,1073,醒吾學校財團法人醒吾科技大學,否,應用科技(技術報告),0,1,2,0,3,0
106,私立,技專校院,1074,南榮學校財團法人南榮科技大學,否,學位論文(文憑送審),0,1,0,1,2,0
106,私立,技專校院,1075,文藻學校財團法人文藻外語大學,是,專門著作,0,1,0,0,1,0
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,否,專門著作,0,1,0,0,1,0
106,私立,技專校院,1076,華夏學校財團法人華夏科技大學,否,應用科技(技術報告),0,0,0,1,1,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,否,專門著作,1,0,0,0,0,0
106,私立,技專校院,1077,慈濟學校財團法人慈濟科技大學,否,學位論文(文憑送審),0,0,0,2,2,0
106,私立,技專校院,1078,致理學校財團法人致理科技大學,否,專門著作,0,0,2,0,2,0
106,私立,技專校院,1078,致理學校財團法人致理科技大學,否,應用科技(技術報告),0,0,0,1,1,0
106,私立,技專校院,1078,致理學校財團法人致理科技大學,否,學位論文(文憑送審),0,0,0,0,0,0
106,私立,一般大學,1079,康寧學校財團法人康寧大學,否,專門著作,8,0,4,4,8,100
106,私立,一般大學,1079,康寧學校財團法人康寧大學,否,學位論文(文憑送審),2,0,1,1,2,100
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,是,應用科技(技術報告),0,0,1,1,2,0
106,私立,技專校院,1080,宏國學校財團法人宏國德霖科技大學,是,藝術作品(作品及成就),0,0,0,1,1,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,否,藝術作品(作品及成就),0,0,0,1,1,0
106,私立,技專校院,1081,東方學校財團法人東方設計大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,是,應用科技(技術報告),0,0,2,0,2,0
106,私立,技專校院,1082,崇右學校財團法人崇右影藝科技大學,是,學位論文(文憑送審),0,0,0,0,0,0
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,否,專門著作,0,0,1,0,1,0
106,私立,技專校院,1083,台北海洋學校財團法人台北海洋科技大學,否,學位論文(文憑送審),0,0,0,1,1,0
106,私立,技專校院,1148,大漢技術學院,否,學位論文(文憑送審),0,0,0,0,0,0
