年度,設立別,學校類別,學校統計處代碼,學校名稱,專任教師數,學校承接「產學合作」計畫經費-小計,學校承接「產學合作」計畫經費-政府部門資助,學校承接「產學合作」計畫經費-企業部門資助,學校承接「產學合作」計畫經費-其他單位資助,專任教師每師平均承接「產學合作」計畫經費
106,公立,技專校院,0025,國立臺北科技大學,470,560197137,362534515,149097142,48565480,1191908.80
106,公立,技專校院,0026,國立高雄第一科技大學,269,180238656,87375812,68259977,24602867,670032.18
106,公立,技專校院,0027,國立高雄應用科技大學,351,137155227,59654965,52831674,24668588,390755.63
106,公立,一般大學,0028,國立臺北藝術大學,160,50933487,30843357,14558000,5532130,318334.29
106,公立,一般大學,0029,國立臺灣藝術大學,162,46046657,41022194,2132500,2891963,284238.62
106,公立,一般大學,0030,國立臺東大學,192,106386646,98417621,5030032,2938993,554097.11
106,公立,一般大學,0031,國立宜蘭大學,233,74909440,33435213,37078855,4395372,321499.74
106,公立,一般大學,0032,國立聯合大學,288,77230249,49587544,25974555,1668150,268160.59
106,公立,技專校院,0033,國立虎尾科技大學,329,110774916,32289996,48609096,29875824,336701.87
106,公立,技專校院,0034,國立高雄海洋科技大學,230,111219310,20621444,85212866,5385000,483562.22
106,公立,一般大學,0035,國立臺南藝術大學,105,38526069,34195516,2832524,1498029,366914.94
106,公立,一般大學,0036,國立臺南大學,237,35524906,14579361,18672807,2272738,149894.12
106,公立,一般大學,0037,國立臺北教育大學,223,4140811,99500,1443272,2598039,18568.66
106,公立,一般大學,0039,國立臺中教育大學,199,40875124,37023939,3851185,0,205402.63
106,公立,技專校院,0042,國立澎湖科技大學,123,15924370,7600370,8324000,0,129466.42
106,公立,技專校院,0043,國立勤益科技大學,281,59661958,5400318,37362190,16899450,212320.14
106,公立,一般大學,0044,國立體育大學,101,14235342,1060335,8804423,4370584,140943.98
106,公立,技專校院,0046,國立臺北護理健康大學,174,16019033,6932400,6064554,3022079,92063.41
106,公立,技專校院,0047,國立高雄餐旅大學,149,12583365,0,10668965,1914400,84452.11
106,公立,一般大學,0048,國立金門大學,149,22190050,18826950,1131100,2232000,148926.51
106,公立,一般大學,0049,國立臺灣體育運動大學,108,14738693,219033,12459660,2060000,136469.38
106,公立,技專校院,0050,國立臺中科技大學,405,53120908,33833703,13555108,5732097,131162.74
106,公立,技專校院,0051,國立臺北商業大學,208,16624243,1900000,11515287,3208956,79924.25
106,公立,一般大學,0052,國立屏東大學,339,63369062,47060178,7335028,8973856,186929.39
106,公立,技專校院,0144,國立臺灣戲曲學院,34,11727181,1929380,4132000,5665801,344917.09
106,公立,技專校院,0221,國立臺南護理專科學校,85,2188000,0,1308000,880000,25741.18
106,公立,技專校院,0222,國立臺東專科學校,64,3152000,1611400,1372600,168000,49250
106,私立,一般大學,1001,東海大學,533,79372949,37912500,28111259,13349190,148917.35
106,私立,一般大學,1002,輔仁大學,698,59511931,19101000,10968941,29441990,85260.65
106,私立,一般大學,1003,東吳大學,435,48189668,23549900,14520149,10119619,110780.85
106,私立,一般大學,1004,中原大學,482,81309292,41420588,8406386,31482318,168691.48
106,私立,一般大學,1005,淡江大學學校財團法人淡江大學,759,111097386,86714321,18483615,5899450,146373.37
106,私立,一般大學,1006,中國文化大學,746,69554245,45612992,17195730,6745523,93236.25
106,私立,一般大學,1007,逢甲大學,649,643420133,536620634,69091590,37707909,991402.36
106,私立,一般大學,1008,靜宜大學,368,58688962,34341597,20381640,3965725,159480.88
106,私立,一般大學,1009,長庚大學,596,106907459,30980000,65822755,10104704,179374.93
106,私立,一般大學,1010,元智大學,309,101744910,31053149,28429945,42261816,329271.55
106,私立,一般大學,1011,中華大學學校財團法人中華大學,255,36459931,16952740,10627241,8879950,142980.12
106,私立,一般大學,1012,大葉大學,336,50328871,13614141,27253292,9461438,149788.31
