學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次小計,修讀雙主修人次男,修讀雙主修人次女
105,1,公立,一般大學,0009,國立中山大學,07141054,光電工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0009,國立中山大學,07141055,資訊工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0009,國立中山大學,07151061,機械與機電工程學系,學士班(日間),1,1,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,04199055,海洋觀光管理學士學位學程,學士班(日間),1,1,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,04212010,海洋法政學士學位學程,學士班(日間),1,1,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,05121014,生命科學暨生物科技學系,學士班(日間),3,3,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,06131028,資訊工程學系,學士班(日間),2,1,1
105,1,公立,一般大學,0012,國立臺灣海洋大學,07141025,電機工程學系,學士班(日間),2,2,0
105,1,公立,一般大學,0012,國立臺灣海洋大學,07151036,機械與機電工程學系,學士班(日間),1,0,1
105,1,公立,一般大學,0012,國立臺灣海洋大學,07163035,輪機工程學系,學士班(日間),2,0,2
105,1,公立,一般大學,0012,國立臺灣海洋大學,07211042,食品科學系,學士班(日間),9,4,5
105,1,公立,一般大學,0012,國立臺灣海洋大學,08312046,水產養殖學系,學士班(日間),1,0,1
105,1,公立,一般大學,0012,國立臺灣海洋大學,10411050,運輸科學系,學士班(日間),1,0,1
105,1,公立,一般大學,0012,國立臺灣海洋大學,10412048,航運管理學系,學士班(日間),9,2,7
105,1,公立,一般大學,0012,國立臺灣海洋大學,10414052,商船學系,學士班(日間),7,3,4
105,1,公立,一般大學,0013,國立中正大學,01112005,成人及繼續教育學系,學士班(日間),20,3,17
105,1,公立,一般大學,0013,國立中正大學,02221015,歷史學系,學士班(日間),28,10,18
105,1,公立,一般大學,0013,國立中正大學,02231016,哲學系,學士班(日間),69,23,46
105,1,公立,一般大學,0013,國立中正大學,02311012,外國語文學系,學士班(日間),27,4,23
105,1,公立,一般大學,0013,國立中正大學,02322011,中國文學系,學士班(日間),15,0,15
105,1,公立,一般大學,0013,國立中正大學,03111017,經濟學系,學士班(日間),17,5,12
105,1,公立,一般大學,0013,國立中正大學,03121018,政治學系,學士班(日間),24,7,17
105,1,公立,一般大學,0013,國立中正大學,03131019,心理學系,學士班(日間),7,2,5
105,1,公立,一般大學,0013,國立中正大學,03199025,勞工關係學系,學士班(日間),22,5,17
105,1,公立,一般大學,0013,國立中正大學,03199026,犯罪防治學系,學士班(日間),11,3,8
105,1,公立,一般大學,0013,國立中正大學,03211028,傳播學系,學士班(日間),10,5,5
105,1,公立,一般大學,0013,國立中正大學,04111032,會計與資訊科技學系,學士班(日間),3,0,3
105,1,公立,一般大學,0013,國立中正大學,04121034,財務金融學系,學士班(日間),4,2,2
