學年度,設立別,學校類別,學校統計處代碼,學校名稱,單位代碼,單位名稱,外籍專任教師數-教師總數,外籍專任教師數-教師總數男,外籍專任教師數-教師總數女,外籍專任教師數-教授男,外籍專任教師數-教授女,外籍專任教師數-副教授男,外籍專任教師數-副教授女,外籍專任教師數-助理教授男,外籍專任教師數-助理教授女,外籍專任教師數-講師男,外籍專任教師數-講師女,外籍專任教師數-其他教師男,外籍專任教師數-其他教師女
106,公立,一般大學,0009,國立中山大學,07141053,電機工程學系,2,2,0,1,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0009,國立中山大學,07141055,資訊工程學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0012,國立臺灣海洋大學,05323020,海洋環境資訊系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0012,國立臺灣海洋大學,05323022,海洋環境與生態研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0012,國立臺灣海洋大學,99999Z01,共同教育中心,1,1,0,0,0,0,0,0,0,1,0,0,0
106,公立,一般大學,0013,國立中正大學,02231016,哲學系,2,2,0,0,0,2,0,0,0,0,0,0,0
106,公立,一般大學,0013,國立中正大學,02311012,外國語文學系,2,2,0,1,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0013,國立中正大學,02399014,語言學研究所,2,1,1,1,1,0,0,0,0,0,0,0,0
106,公立,一般大學,0013,國立中正大學,07141054,電機工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0014,國立高雄師範大學,02151013,音樂學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0014,國立高雄師範大學,02311021,英語學系,2,1,1,0,0,1,0,0,1,0,0,0,0
106,公立,一般大學,0014,國立高雄師範大學,03143031,客家文化研究所,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0015,國立彰化師範大學,02311020,英語學系,3,3,0,0,0,0,0,1,0,2,0,0,0
106,公立,一般大學,0015,國立彰化師範大學,03131055,復健諮商研究所,3,2,1,2,0,0,0,0,1,0,0,0,0
106,公立,一般大學,0015,國立彰化師範大學,04131029,企業管理學系,1,1,0,0,0,1,0,0,0,0,0,0,0
106,公立,一般大學,0016,國立陽明大學,02231002,心智哲學研究所,2,1,1,0,0,1,1,0,0,0,0,0,0
106,公立,一般大學,0016,國立陽明大學,05122009,微生物及免疫學研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0016,國立陽明大學,07193019,生醫光電研究所,2,2,0,2,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0016,國立陽明大學,99999999,人文與社會教育中心,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0017,國立臺北大學,02221005,歷史學系,1,1,0,0,0,0,0,1,0,0,0,0,0
106,公立,一般大學,0017,國立臺北大學,02322002,中國文學系,1,1,0,1,0,0,0,0,0,0,0,0,0
106,公立,一般大學,0017,國立臺北大學,03141011,社會學系,1,0,1,0,0,0,1,0,0,0,0,0,0
106,公立,一般大學,0017,國立臺北大學,07141035,電機工程學系,2,1,1,0,0,0,0,1,1,0,0,0,0
106,公立,一般大學,0017,國立臺北大學,99999Z08,語言中心,1,1,0,0,0,0,0,0,0,1,0,0,0
106,公立,一般大學,0018,國立嘉義大學,02311031,外國語言學系,2,2,0,0,0,0,0,1,0,1,0,0,0
106,公立,一般大學,0018,國立嘉義大學,99999Z08,語言中心,2,2,0,0,0,0,0,0,0,2,0,0,0
106,公立,一般大學,0019,國立高雄大學,02311002,西洋語文學系,2,2,0,0,0,1,0,1,0,0,0,0,0
106,公立,一般大學,0019,國立高雄大學,02311003,東亞語文學系,6,2,4,0,0,1,2,1,2,0,0,0,0
106,公立,一般大學,0019,國立高雄大學,05311022,應用化學系,1,1,0,0,0,1,0,0,0,0,0,0,0
