學年度,設立別,學校類別,學校統計處代碼,學校名稱,人事費支出(含退休撫卹+超額年金)金額,人事費支出(含退休撫卹+超額年金)(%),業務費(不含折舊及攤銷)金額,業務費(不含折舊及攤銷)(%),折舊及攤銷金額,折舊及攤銷(%),獎學金支出金額,獎學金支出(%),補助弱勢清寒學生之助學性支出金額,補助弱勢清寒學生之助學性支出(%),建築物及設備之維護費用金額,建築物及設備之維護費用(%),利息費用金額,利息費用(%),各項投資、基金及附屬機構損失金額,各項投資、基金及附屬機構損失(%),其他校務支出金額,其他校務支出(%),合計金額,合計(%)
105,私立,技專校院,1282,馬偕學校財團法人馬偕醫護管理專科學校,229442,46.80,101625,20.73,71588,14.60,1108,0.23,34245,6.99,47610,9.71,3274,0.67,0,0,1321,0.27,490212,100
105,私立,技專校院,1283,仁德醫護管理專科學校,284217,58.11,73072,14.94,61215,12.52,3136,0.64,25313,5.18,15867,3.24,665,0.14,0,0,25607,5.24,489092,100
105,私立,技專校院,1284,樹人醫護管理專科學校,304122,60.36,100617,19.97,53976,10.71,4106,0.81,20270,4.02,14019,2.78,0,0,0,0,6718,1.33,503828,100
105,私立,技專校院,1285,慈惠醫護管理專科學校,248035,53.75,102708,22.26,73881,16.01,2522,0.55,15401,3.34,18546,4.02,0,0,0,0,351,0.08,461445,100
105,私立,技專校院,1286,耕莘健康管理專科學校,248318,56.39,88613,20.12,66856,15.18,2025,0.46,13157,2.99,7410,1.68,1793,0.41,0,0,12157,2.76,440329,100
105,私立,技專校院,1287,敏惠醫護管理專科學校,178281,40.03,54652,12.27,56417,12.67,24920,5.60,117993,26.49,10360,2.33,416,0.09,1257,0.28,1068,0.24,445365,100
105,私立,技專校院,1288,高美醫護管理專科學校,35567,44.54,16644,20.84,16797,21.04,1104,1.38,3118,3.90,1528,1.91,246,0.31,0,0,4850,6.07,79853,100
105,私立,技專校院,1289,育英醫護管理專科學校,92269,55.41,38559,23.16,25272,15.18,337,0.20,3733,2.24,4132,2.48,0,0,0,0,2217,1.33,166519,100
105,私立,技專校院,1290,崇仁醫護管理專科學校,160893,57.62,49141,17.60,51766,18.54,1191,0.43,8742,3.13,3041,1.09,0,0,0,0,4452,1.59,279226,100
105,私立,技專校院,1291,聖母醫護管理專科學校,174938,61.45,44839,15.75,41763,14.67,2138,0.75,9618,3.38,1934,0.68,1608,0.56,0,0,7847,2.76,284685,100
105,私立,技專校院,1292,新生醫護管理專科學校,280453,64.29,68048,15.60,54168,12.42,6614,1.52,9705,2.22,6730,1.54,2519,0.58,0,0,7964,1.83,436201,100
105,私立,宗教研修學院,1R02,學校財團法人中華浸信會基督教台灣浸會神學院,14616,68.26,3588,16.76,836,3.90,725,3.38,4,0.02,1477,6.90,0,0,0,0,168,0.78,21413,100
105,私立,宗教研修學院,1R03,臺北基督學院,37703,65.08,13332,23.01,2397,4.14,1895,3.27,718,1.24,1369,2.36,0,0,0,0,519,0.90,57933,100
