學年度,設立別,學校類別,學校統計處代碼,學校名稱,私立學校可用資金,私立學校本學年現金增減情形-營運活動淨現金流入(出),私立學校本學年現金增減情形-投資活動淨現金流入(出),私立學校本學年現金增減情形-籌資活動淨現金流入(出),私立學校本學年現金增減情形-匯率變動影響數(107新增),私立學校本學年現金增減情形-小計
108,私立,一般大學,1016,銘傳大學,1765594,155458,-124198,-2783,-774,27703
108,私立,一般大學,1017,實踐大學,1080101,258090,-318329,64523,0,4283
108,私立,技專校院,1018,朝陽科技大學,1439538,334427,-435802,2818,0,-98556
108,私立,一般大學,1019,高雄醫學大學,1107606,-563921,241592,-7769,0,-330098
108,私立,一般大學,1020,南華大學,339558,85270,-64130,-5738,0,15401
108,私立,一般大學,1021,真理大學,-67494,34979,-31329,-41822,0,-38172
108,私立,一般大學,1022,大同大學,398564,106873,-62785,1395,0,45483
108,私立,技專校院,1023,南臺學校財團法人南臺科技大學,1460901,457700,-393080,424,0,65043
108,私立,技專校院,1024,崑山科技大學,658630,277285,-259150,-2272,0,15863
108,私立,技專校院,1025,嘉藥學校財團法人嘉南藥理大學,198069,290281,-162487,-59615,0,68179
108,私立,技專校院,1026,樹德科技大學,1040607,188162,-85070,1137,0,104229
108,私立,一般大學,1027,慈濟學校財團法人慈濟大學,4631560,279907,-100996,4243,0,183153
108,私立,一般大學,1028,臺北醫學大學,123656,-523862,-70320,458541,0,-135641
108,私立,一般大學,1029,中山醫學大學,-218981,19199,-17386,-72056,0,-70243
108,私立,技專校院,1030,龍華科技大學,2975002,368403,-151821,-1955,0,214627
108,私立,技專校院,1031,輔英科技大學,1277696,159811,-78842,1063,0,82032
108,私立,技專校院,1032,明新學校財團法人明新科技大學,573040,171470,-154025,-31615,0,-14170
108,私立,一般大學,1033,長榮大學,777696,19288,-94635,-1397,0,-76745
108,私立,技專校院,1034,弘光科技大學,613181,318949,-321757,1166,0,-1641
108,私立,一般大學,1035,中國醫藥大學,171757,-203543,310151,34656,0,141263
108,私立,技專校院,1036,健行學校財團法人健行科技大學,736385,288009,-185480,2367,0,104897
108,私立,技專校院,1037,正修學校財團法人正修科技大學,945351,332932,-233435,1991,0,101487
108,私立,技專校院,1038,萬能學校財團法人萬能科技大學,1050700,186435,-120391,-2166,0,63878
108,私立,一般大學,1039,玄奘大學,627984,35642,-36344,-3160,0,-3861
108,私立,技專校院,1040,建國科技大學,48615,75784,-47645,-7716,0,20423
108,私立,技專校院,1041,明志科技大學,7188855,1587015,-413013,-1529,0,1172473
108,私立,技專校院,1042,高苑科技大學,190252,-143313,-35257,-13,0,-178583
108,私立,技專校院,1043,大仁科技大學,272527,41458,-33806,731,0,8383
108,私立,技專校院,1044,聖約翰科技大學,202635,-93575,-42342,-6383,0,-142300
108,私立,技專校院,1045,嶺東科技大學,2331206,294228,-107016,-29432,0,157780
108,私立,技專校院,1046,中國科技大學,1496105,263397,-117689,-845,0,144863
