,學年度,學校代碼,學校名稱,"機械儀器
及設備",圖書及博物,無形資產,"土地及
土地改良物",房屋及建築,"其他動產
及不動產",合計
,104,1007,逢甲大學,100629,73329,25410,-,39695,46265,285327
,104,1008,靜宜大學,37820,18352,7775,21860,45453,14400,145661
,104,1009,長庚大學,268507,4512,24275,-,15456,6307,319057
,104,1010,元智大學,76407,26503,9367,-,-,16861,129138
,104,1011,中華大學,34211,24098,7268,100401,11666,13969,191613
,104,1012,大葉大學,111113,24827,9690,4114,32633,2183,184561
,104,1013,華梵大學,18328,5782,702,139,24245,37360,86556
,104,1014,義守大學,86985,21052,13266,-,33061,30833,185196
,104,1015,世新大學,39052,8360,2699,17626,72227,20660,160625
,104,1016,銘傳大學,70467,25822,7362,-,4846,27937,136434
,104,1017,實踐大學,84210,14539,8634,-,50565,6299,164247
,104,1019,高雄醫學大學,58907,43845,6733,-,30287,12914,152686
,104,1020,南華大學,52590,21502,8607,2163,10562,16421,111846
,104,1021,真理大學,16603,12642,4477,95,3548,9744,47109
,104,1022,大同大學,29580,10579,3168,-,12652,16445,72424
,104,1027,慈濟大學,63403,24122,7947,-,699,82402,178574
,104,1028,臺北醫學大學,153334,28378,19912,2180,70799,18323,292925
,104,1029,中山醫學大學,25391,2175,4258,1250,5587,31557,70218
,104,1033,長榮大學,26379,3010,7792,4708,43833,38485,124207
,104,1035,中國醫藥大學,53724,30456,14034,-,53675,10475,162365
,104,1039,玄奘大學,76897,3322,10058,22700,152384,21650,287011
,104,1048,亞洲大學,57535,14992,12622,-,1443622,11799,1540570
,104,1049,開南大學,35453,11801,-,-,-,1708,48963
,104,1050,佛光大學,20748,8288,6491,-,-,3382,38910
,104,1058,明道大學,19897,2191,2690,2867,6012,6909,40566
,104,1067,台灣首府大學,16423,1076,3861,-,1794,486,23640
,104,1079,康寧大學,28698,2543,8333,-,1752,15668,56994
,104,1125,中信金融管理學院,8660,605,208,-,67848,7317,84638
,104,1176,稻江科技暨管理學院,9548,2605,2917,4500,4574,979,25122
,104,1195,馬偕醫學院,16412,9317,2615,460,2074,3656,34535
,104,1196,法鼓文理學院,30453,5387,2045,-,6771,3233,47889
,104,1R02,基督教台灣浸會神學院,566,1661,37,-,2608,65,4937
,104,1R03,臺北基督學院,1292,652,2081,-,-,2245,6270
,104,1R04,一貫道天皇學院,539,90,822,-,-,215,1666
,104,1R05,台神學校財團法人台灣神學研究學院,-,-,-,1507,-,-,1507
,104,1R06,一貫道崇德學院,-,-,-,-,-,-,-
,104,1018,朝陽科技大學,109541,17888,11582,5600,-,23692,168303
,104,1023,南臺科技大學,136848,12532,15452,5223,666670,8727,845452
,104,1024,崑山科技大學,117270,16709,10982,3585,61110,3828,213484
,104,1025,嘉南藥理大學,101358,15360,10016,73460,544764,8482,753440
,104,1026,樹德科技大學,43245,11426,9836,6059,211492,90472,372528
,104,1030,龍華科技大學,75778,5222,7150,-,6741,9630,104521
,104,1031,輔英科技大學,87963,5236,9659,1345,14338,7870,126411
,104,1032,明新科技大學,61125,10392,7549,2605,30644,24483,136797
,104,1034,弘光科技大學,74786,23453,24649,948,17560,17897,159294
,104,1036,健行科技大學,93731,11478,10048,-,668697,46537,830490
,104,1037,正修科技大學,143993,13141,15778,2981,59339,148613,383844
,104,1038,萬能科技大學,64078,5737,4774,20450,56393,9141,160573
,104,1040,建國科技大學,63703,5180,8739,24972,23020,84347,209961
,104,1041,明志科技大學,77413,1955,16951,-,40012,23658,159989
,104,1042,高苑科技大學,56862,4793,2984,2093,2296,4997,74025
,104,1043,大仁科技大學,60578,11490,6066,13813,-,1597,93544
,104,1044,聖約翰科技大學,42427,2953,4232,-,63887,11534,125033
,104,1045,嶺東科技大學,43578,11667,5611,4310,12200,3446,80813
,104,1046,中國科技大學,63646,4633,12846,431,1949,5822,89328
,104,1047,中臺科技大學,53907,9796,7220,-,-,21019,91943
,104,1051,台南應用科技大學,57694,11608,9048,4640,3230,12705,98925
,104,1052,遠東科技大學,82785,6853,13909,-,-,3293,106840
,104,1053,元培醫事科技大學,54306,2369,11907,10670,18993,24029,122274
,104,1054,景文科技大學,36157,4857,7865,-,3098,10314,62291
,104,1055,中華醫事科技大學,49659,14209,4128,5229,6105,3973,83303
,104,1056,東南科技大學,49781,4119,3801,-,17995,10294,85989
,104,1057,德明財經科技大學,24797,4238,5675,-,6630,4124,45465
