學年度,設立別,學校類別,學校統計處代碼,學校名稱,學院名稱,系所代碼,系所名稱,學制班別,學籍分組,畢業總人數,畢業生修讀學術倫理教育課程人數,學位論文不公開件數,學位論文考試委員人次-符合各學位考試委員職級之教師或院士,學位論文考試委員人次-有博士學位且學術有成就,學位論文考試委員人次-屬稀少或特殊性考試委員
108,公立,一般大學,0002,國立清華大學,工學院,07199070,全球營運管理碩士雙聯學位學程,碩士班(日間),-,4,4,0,12,0,0
108,公立,一般大學,0002,國立清華大學,不分院,99999074,跨院國際博士班學位學程,博士班,-,2,2,0,9,2,0
108,公立,一般大學,0002,國立清華大學,不分院,99999074,跨院國際碩士學位學程,碩士班(日間),-,1,1,0,2,1,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05121026,生物科技研究所,碩士班(日間),-,18,18,0,51,12,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05121026,生物科技研究所,博士班,-,4,1,0,18,2,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05121028,分子與細胞生物研究所,碩士班(日間),-,14,14,0,40,4,1
108,公立,一般大學,0002,國立清華大學,生命科學院,05121028,分子與細胞生物研究所,博士班,-,5,3,0,20,7,1
108,公立,一般大學,0002,國立清華大學,生命科學院,05121030,生物資訊與結構生物研究所,碩士班(日間),-,22,22,0,65,3,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05121030,生物資訊與結構生物研究所,博士班,-,7,1,0,24,11,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05121072,分子醫學研究所,碩士班(日間),-,16,16,0,44,5,1
108,公立,一般大學,0002,國立清華大學,生命科學院,05121072,分子醫學研究所,博士班,-,2,0,0,7,3,0
108,公立,一般大學,0002,國立清華大學,生命科學院,05199033,系統神經科學研究所,碩士班(日間),-,15,15,0,47,2,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01111084,教育與學習科技學系,碩士班(日間),行政與評鑑組,16,15,0,48,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01111084,教育與學習科技學系,碩士班(日間),課程與教學組,8,5,0,24,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01111084,教育與學習科技學系,博士班,-,8,3,0,27,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01111084,教育與學習科技學系教育行政碩士在職專班,碩士在職專班,-,23,20,0,69,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01111084,教育與學習科技學系課程與教學碩士在職專班,碩士在職專班,-,26,24,0,78,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01112083,人力資源與數位學習科技研究所,碩士班(日間),-,7,6,0,21,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01113095,特殊教育學系,碩士班(日間),-,15,11,0,45,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01113110,學前特殊教育碩士在職學位學程,碩士在職專班,-,9,9,0,27,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01121091,幼兒教育學系,碩士班(日間),-,8,8,0,24,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01121091,幼兒教育學系,碩士在職專班,-,6,2,0,18,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01121091,幼兒教育學系幼兒園教師碩士在職專班,碩士在職專班,-,1,0,0,3,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01131085,數理教育研究所,碩士班(日間),-,19,15,0,57,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01131085,數理教育研究所,碩士在職專班,-,9,9,0,27,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01131085,數理教育研究所數學教育教師碩士在職專班,碩士在職專班,-,1,0,0,3,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01131105,英語教學系,碩士班(日間),-,4,4,0,12,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01141090,體育學系,碩士班(日間),-,6,5,0,18,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,01141090,體育學系體育碩士在職專班,碩士在職專班,-,10,9,0,30,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,02321101,臺灣語言研究與教學研究所,碩士班(日間),-,6,4,0,18,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,03131077,教育心理與諮商學系,碩士班(日間),-,25,17,0,75,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,03131077,教育心理與諮商學系教育心理與諮商碩士在職專班,碩士在職專班,-,10,5,0,30,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,03131077,教育心理與諮商學系教育心理與諮商碩士在職專班,碩士在職專班,工商心理組,5,5,0,15,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,03131077,教育心理與諮商學系教育心理與諮商碩士在職專班,碩士在職專班,輔導諮商組,3,3,0,9,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,03199111,學習科學與科技研究所,碩士班(日間),-,7,7,0,24,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,05211102,環境與文化資源學系,碩士班(日間),-,11,10,0,33,0,0
108,公立,一般大學,0002,國立清華大學,竹師教育學院,05211102,環境與文化資源學系社區與社會學習領域碩士在職專班,碩士在職專班,-,3,3,0,9,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,03111011,經濟學系,碩士班(日間),-,20,20,0,60,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,03111011,經濟學系,博士班,-,3,0,0,16,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04121019,科技管理學院財務金融碩士在職專班,碩士在職專班,-,26,26,0,83,9,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04121020,計量財務金融學系,碩士班(日間),-,23,22,0,76,2,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04131016,經營管理碩士在職專班,碩士在職專班,-,54,54,0,188,10,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04131016,經營管理碩士在職專班現役軍人營區碩士在職專班,碩士在職專班,-,7,7,0,23,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04131018,國際專業管理碩士班,碩士班(日間),-,20,20,0,63,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04134014,科技管理學院公共政策與管理碩士在職專班,碩士在職專班,-,24,24,0,75,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04199017,科技管理研究所,碩士班(日間),-,33,33,0,98,4,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04199017,科技管理研究所,博士班,-,3,1,0,18,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04199021,科技管理學院高階經營管理深圳境外碩士在職專班,碩士在職專班,-,7,7,0,21,3,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04199021,高階經營管理碩士在職專班,碩士在職專班,-,37,37,0,136,5,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04199022,服務科學研究所,碩士班(日間),-,21,21,0,63,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04199022,服務科學研究所,博士班,-,3,3,0,16,0,0
108,公立,一般大學,0002,國立清華大學,科技管理學院,04212024,科技法律研究所,碩士班(日間),-,19,17,0,59,2,1
108,公立,一般大學,0002,國立清華大學,原子科學院,07131068,核子工程與科學研究所,碩士班(日間),-,22,22,0,51,25,0
108,公立,一般大學,0002,國立清華大學,原子科學院,07131068,核子工程與科學研究所,博士班,-,5,2,0,15,12,1
108,公立,一般大學,0002,國立清華大學,原子科學院,07193063,生醫工程與環境科學系,碩士班(日間),-,38,37,0,109,22,6
108,公立,一般大學,0002,國立清華大學,原子科學院,07193063,生醫工程與環境科學系,博士班,-,14,2,0,67,10,0
108,公立,一般大學,0002,國立清華大學,原子科學院,07194066,工程與系統科學系,碩士班(日間),-,75,75,0,184,58,7
108,公立,一般大學,0002,國立清華大學,原子科學院,07194066,工程與系統科學系,博士班,-,7,3,0,26,10,0
108,公立,一般大學,0002,國立清華大學,清華學院,03199015,學習科學研究所,碩士班(日間),-,5,5,0,15,0,0
108,公立,一般大學,0002,國立清華大學,理學院,05111106,應用科學系,碩士班(日間),生命科學組,1,0,0,3,0,0
108,公立,一般大學,0002,國立清華大學,理學院,05111106,應用科學系,碩士班(日間),材料科學組,1,1,0,3,0,0
108,公立,一般大學,0002,國立清華大學,理學院,05311037,化學系,碩士班(日間),化學組,45,45,0,133,7,0
108,公立,一般大學,0002,國立清華大學,理學院,05311037,化學系,碩士班(日間),應用化學組,38,38,0,115,5,0
108,公立,一般大學,0002,國立清華大學,理學院,05311037,化學系,博士班,-,28,10,0,135,10,0
108,公立,一般大學,0002,國立清華大學,理學院,05331038,物理學系,碩士班(日間),光電物理組,12,12,0,29,10,3
108,公立,一般大學,0002,國立清華大學,理學院,05331038,物理學系,碩士班(日間),物理組,24,24,0,78,4,0
108,公立,一般大學,0002,國立清華大學,理學院,05331038,物理學系,碩士班(日間),應用物理組,19,19,0,58,9,0
108,公立,一般大學,0002,國立清華大學,理學院,05331038,物理學系,博士班,-,11,6,0,60,3,0
108,公立,一般大學,0002,國立清華大學,理學院,05332039,天文研究所,碩士班(日間),-,7,7,0,20,5,0
108,公立,一般大學,0002,國立清華大學,理學院,05332039,天文研究所,博士班,-,1,0,0,5,0,0
