學年度,設立別 ,學校類別,學校代碼,學校名稱,,,總計,男,女,男,女,男,女,男,女,男,女,男,女
101,公立,一般大學,20,國立東華大學,340201,會計學系,1,0,1,0,0,0,0,0,1,0,0,0,0
101,公立,一般大學,20,國立東華大學,340307,國際企業學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,20,國立東華大學,420103,生命科學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,20,國立東華大學,440301,物理學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,20,國立東華大學,999901,語言中心,5,4,1,0,0,0,0,0,0,0,0,4,1
101,公立,一般大學,21,國立暨南國際大學,220201,中國語文學系,1,1,0,1,0,0,0,0,0,0,0,0,0
101,公立,一般大學,21,國立暨南國際大學,220301,外國語文學系,3,2,1,0,0,2,0,0,1,0,0,0,0
101,公立,一般大學,21,國立暨南國際大學,220901,歷史學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,21,國立暨南國際大學,310506,輔導與諮商研究所,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,21,國立暨南國際大學,310704,東南亞研究所(校本部),1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,21,國立暨南國際大學,520101,電機工程學系,1,1,0,0,0,1,0,0,0,0,0,0,0
101,公立,一般大學,21,國立暨南國際大學,999901,語文教學研究中心,2,2,0,0,0,0,0,0,0,0,0,2,0
101,公立,一般大學,28,國立臺北藝術大學,210401,音樂學系,2,2,0,1,0,1,0,0,0,0,0,0,0
101,公立,一般大學,28,國立臺北藝術大學,210408,傳統音樂學系,1,0,1,0,0,0,1,0,0,0,0,0,0
101,公立,一般大學,28,國立臺北藝術大學,210507,劇場設計學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,28,國立臺北藝術大學,210511,舞蹈學系,2,2,0,0,0,0,0,0,0,0,0,2,0
101,公立,一般大學,29,國立臺灣藝術大學,210104,書畫藝術學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,29,國立臺灣藝術大學,320702,圖文傳播藝術學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,30,國立臺東大學,210105,美術產業學系,1,1,0,0,0,0,0,1,0,0,0,0,0
101,公立,一般大學,30,國立臺東大學,210401,音樂學系,1,1,0,0,0,0,0,0,0,1,0,0,0
101,公立,一般大學,30,國立臺東大學,220310,英美語文學系,1,1,0,0,0,0,0,0,0,0,0,1,0
101,公立,一般大學,31,國立宜蘭大學,220301,外國語文學系,1,1,0,0,0,1,0,0,0,0,0,0,0
