學年度,設立別,學校類別,學校統計處代碼,學校名稱,工作月數,"獎助生月支領金額人數-月領3,000元以下","獎助生月支領金額人數-月領3,001~6,000元以下","獎助生月支領金額人數-月領6,001~9,000元以下","獎助生月支領金額人數-月領9,001~基本工資一半以下",獎助生月支領金額人數-月領基本工資一半以上~未達基本工資以下,獎助生月支領金額人數-月領基本工資以上,"勞僱型學生兼任助理月支領金額人數-月領3,000元以下","勞僱型學生兼任助理月支領金額人數-月領3,001~6,000元以下","勞僱型學生兼任助理月支領金額人數-月領6,001~9,000元以下","勞僱型學生兼任助理月支領金額人數-月領9,001~基本工資一半以下",勞僱型學生兼任助理月支領金額人數-月領基本工資一半以上~未達基本工資以下,勞僱型學生兼任助理月支領金額人數-月領基本工資以上
109,公立,一般大學,0018,國立嘉義大學,6個月,23,41,26,12,0,1,2,9,5,1,5,1
109,公立,一般大學,0018,國立嘉義大學,7個月,26,86,80,28,4,0,163,81,40,33,87,32
109,公立,一般大學,0018,國立嘉義大學,8個月,39,146,105,33,10,4,182,91,63,33,100,23
109,公立,一般大學,0018,國立嘉義大學,9個月,48,146,110,27,15,3,135,91,85,28,82,41
109,公立,一般大學,0018,國立嘉義大學,10個月,44,198,141,33,11,3,267,136,119,64,132,34
109,公立,一般大學,0018,國立嘉義大學,11個月,28,171,131,33,18,3,198,167,112,52,125,49
109,公立,一般大學,0019,國立高雄大學,12個月,0,0,0,0,0,0,0,0,1,0,0,0
109,公立,一般大學,0019,國立高雄大學,1個月,31,42,10,15,1,0,45,22,14,10,1,0
109,公立,一般大學,0019,國立高雄大學,2個月,5,32,35,16,2,0,8,17,10,8,0,0
109,公立,一般大學,0019,國立高雄大學,3個月,18,36,23,7,3,0,11,11,6,1,0,0
109,公立,一般大學,0019,國立高雄大學,4個月,19,15,5,2,4,0,163,11,5,0,0,0
109,公立,一般大學,0019,國立高雄大學,5個月,11,19,5,3,1,0,6,7,4,1,0,0
109,公立,一般大學,0019,國立高雄大學,6個月,3,2,6,4,1,0,1,0,3,1,0,0
109,公立,一般大學,0019,國立高雄大學,7個月,6,5,0,6,0,0,0,1,0,0,0,0
109,公立,一般大學,0019,國立高雄大學,8個月,3,15,4,3,1,0,80,13,1,0,0,0
109,公立,一般大學,0019,國立高雄大學,9個月,1,1,3,2,0,0,0,7,0,0,0,0
109,公立,一般大學,0019,國立高雄大學,10個月,0,0,0,0,0,0,2,8,1,1,0,0
109,公立,一般大學,0019,國立高雄大學,11個月,0,0,0,0,0,0,0,4,0,2,0,0
109,公立,一般大學,0020,國立東華大學,12個月,25,60,37,23,19,20,50,120,74,46,20,5
109,公立,一般大學,0020,國立東華大學,1個月,102,75,15,5,1,0,60,10,204,150,78,34
109,公立,一般大學,0020,國立東華大學,2個月,54,19,15,3,1,0,72,6,12,0,64,2
109,公立,一般大學,0020,國立東華大學,3個月,152,65,34,3,1,2,68,54,4,4,32,0
109,公立,一般大學,0020,國立東華大學,4個月,48,35,33,5,2,3,66,10,8,6,2,2
