,學年度,設立別 ,學校類別,學校代碼,學校名稱,縣市別,宿舍類別,自有宿舍床位數(床),男,女,租賃合約4年以上宿舍床位數(床),男,女
,102,公立,技專校院,50,國立臺中科技大學,臺中市,自有,1388,192,1196,0,0,0
,102,公立,技專校院,136,國立屏東商業技術學院,屏東縣,自有,895,0,895,0,0,0
,102,公立,技專校院,142,國立臺北商業技術學院,臺北市,自有,0,0,0,0,0,0
,102,公立,技專校院,144,國立臺灣戲曲學院,臺北市,自有,128,32,96,0,0,0
,102,公立,技專校院,221,國立臺南護理專科學校,臺南市,自有,0,0,0,0,0,0
,102,公立,技專校院,222,國立臺東專科學校,臺東縣,自有,360,223,137,0,0,0
,102,私立,一般大學,1001,東海大學,臺中市,自有,5549,2216,3333,0,0,0
,102,私立,一般大學,1002,輔仁大學,新北市,自有,3533,1232,2301,796,257,539
,102,私立,一般大學,1003,東吳大學,臺北市,自有,1010,367,643,692,237,455
,102,私立,一般大學,1004,中原大學,桃園縣,自有,3813,2115,1698,72,24,48
,102,私立,一般大學,1005,淡江大學,宜蘭縣,自有,804,326,478,0,0,0
,102,私立,一般大學,1005,淡江大學,新北市,自有,2052,27,2025,990,660,330
,102,私立,一般大學,1006,中國文化大學,臺北市,自有,3900,1648,2252,420,168,252
,102,私立,一般大學,1007,逢甲大學,臺中市,自有,2523,863,1660,2083,1853,230
,102,私立,一般大學,1008,靜宜大學,臺中市,自有,3026,786,2240,396,396,0
,102,私立,一般大學,1009,長庚大學,桃園縣,自有,6264,3474,2790,0,0,0
,102,私立,一般大學,1010,元智大學,桃園縣,自有,2892,1440,1452,122,122,0
,102,私立,一般大學,1011,中華大學,新竹市,自有,2899,1485,1414,0,0,0
,102,私立,一般大學,1012,大葉大學,彰化縣,自有,2093,787,1306,0,0,0
,102,私立,一般大學,1013,華梵大學,新北市,自有,994,478,516,0,0,0
,102,私立,一般大學,1014,義守大學,高雄市,自有,4403,1954,2449,2461,1330,1131
,102,私立,一般大學,1015,世新大學,新北市,自有,519,73,446,214,54,160
,102,私立,一般大學,1015,世新大學,臺北市,自有,499,134,365,0,0,0
,102,私立,一般大學,1016,銘傳大學,臺北市,自有,918,298,620,222,138,84
,102,私立,一般大學,1016,銘傳大學,桃園縣,自有,1432,408,1024,604,192,412
,102,私立,一般大學,1016,銘傳大學,金門縣,自有,85,32,53,0,0,0
,102,私立,一般大學,1017,實踐大學,臺北市,自有,940,0,940,304,180,124
,102,私立,一般大學,1017,實踐大學,高雄市,自有,1373,0,1373,606,606,0
,102,私立,一般大學,1019,高雄醫學大學,高雄市,自有,1444,630,814,0,0,0
,102,私立,一般大學,1020,南華大學,嘉義縣,自有,1392,281,1111,0,0,0
,102,私立,一般大學,1021,真理大學,新北市,自有,1088,360,728,0,0,0
,102,私立,一般大學,1021,真理大學,臺南市,自有,656,272,384,0,0,0
,102,私立,一般大學,1022,大同大學,臺北市,自有,1026,692,334,0,0,0
,102,私立,一般大學,1027,慈濟大學,花蓮縣,自有,3521,1347,2174,0,0,0
,102,私立,一般大學,1028,臺北醫學大學,臺北市,自有,810,360,450,0,0,0
,102,私立,一般大學,1029,中山醫學大學,臺中市,自有,1672,712,960,0,0,0
,102,私立,一般大學,1033,長榮大學,臺南市,自有,2966,1365,1601,0,0,0
,102,私立,一般大學,1035,中國醫藥大學,臺中市,自有,415,210,205,0,0,0
,102,私立,一般大學,1035,中國醫藥大學,雲林縣,自有,760,288,472,0,0,0
,102,私立,一般大學,1039,玄奘大學,新竹市,自有,1304,575,729,50,10,40
,102,私立,一般大學,1048,亞洲大學,臺中市,自有,4422,1582,2840,0,0,0
,102,私立,一般大學,1049,開南大學,桃園縣,自有,1646,716,930,0,0,0
