學年度,設立別,學校類別,學校統計處代碼,學校名稱,課程資訊公開網址,採購案件公告網址,校務暨財務公開專區
110,私立,技專校院,1038,萬能學校財團法人萬能科技大學,http://weboffice.vnu.edu.tw/web_cos/,http://web.pcc.gov.tw/,http://www2.vnu.edu.tw/afd/
110,私立,一般大學,1039,玄奘大學,https://affair.hcu.edu.tw/index.html#/course/coursestrategy,https://www.hcu.edu.tw/dga/dga/zh-tw/FAB18385167F481284FC04072443FEB5/?sh=,https://acc.hcu.edu.tw/acc/acc/zh-tw/D6FC575789534490B4D353E849D3C3C0/
110,私立,技專校院,1040,建國科技大學,https://db.ctu.edu.tw/db_subject/index.aspx,http://lms.ctu.edu.tw/board.php?courseID=62901&f=doclist&folderID=270443,http://lms.ctu.edu.tw/site/financialctu
110,私立,技專校院,1041,明志科技大學,http://info.mcut.edu.tw/web1/std_datasearch/stda_course_search.aspx,http://www.e-fpg.com.tw/j2pt/,http://public.mcut.edu.tw/?lang=zh-tw
110,私立,技專校院,1042,高苑科技大學,http://stuinfo.kyu.edu.tw/,http://www.general.kyu.edu.tw/d.htm,http://www.account.kyu.edu.tw/s/index.html
110,私立,技專校院,1043,大仁科技大學,https://web207.tajen.edu.tw/php/Course/,https://a06.tajen.edu.tw/p/412-1006-4352.php?Lang=zh-tw,https://a25.tajen.edu.tw/p/412-1025-2777.php?Lang=zh-tw
110,私立,技專校院,1044,聖約翰科技大學,http://sjuportal.sju.edu.tw/sjucourse/,http://tender.sju.edu.tw/tender/,http://sjuweb.sju.edu.tw/sjufinancial/FA1_1.aspx
110,私立,技專校院,1045,嶺東科技大學,https://course.ltu.edu.tw/StudySelect.aspx,https://ltu-public.video.ltu.edu.tw/p/page14,https://ltu-public.video.ltu.edu.tw/
110,私立,技專校院,1046,中國科技大學,http://www.cute.edu.tw/~acad/course1.htm,http://sites.google.com/view/cute-gene/招標公告,http://m.cute.edu.tw/cutepublicinfo/ShowCatagory.aspx
110,私立,技專校院,1047,中臺科技大學,http://ccservice.ctust.edu.tw/ctust3g/function/cr/crq.aspx,http://general.w4.ctust.edu.tw/files/40-1007-3-1.php?Lang=zh-tw,https://spa.ctust.edu.tw/bin/home.php
110,私立,一般大學,1048,亞洲大學,https://webs.asia.edu.tw/courseinfo/,https://edupub.asia.edu.tw/bidinfo/public/bidquery.aspx,https://web.asia.edu.tw/files/13-1000-4829.php
110,私立,一般大學,1049,開南大學,http://portal.knu.edu.tw/info/mainframe2.aspx,https://general.knu.edu.tw/p/412-1006-224.php?Lang=zh-tw,https://www.knu.edu.tw/p/404-1000-6645.php?Lang=zh-tw
110,私立,一般大學,1050,佛光大學,http://www.fgu.edu.tw/~academic/Coursesopen/course_list.htm?_ga=2.83952154.2085374904.1570412918-1371268250.1525069288,https://general.fgu.edu.tw/zh_tw/Announcement/11,http://www.fgu.edu.tw/newpage/fguwebs/webs/cose/index.php?_ga=2.106089728.2085374904.1570412918-1371268250.1525069288
110,私立,技專校院,1051,台南家專學校財團法人台南應用科技大學,http://192.192.3.177/SC2008/DEFAULT(TUTST1).ASP,"http://affairs.genera.tut.edu.tw/p/406-1047-5842,r392.php?Lang=zh-tw",http://www.tut.edu.tw/p/412-1000-106.php?Lang=zh-tw
110,私立,技專校院,1052,遠東科技大學,http://web.isic.feu.edu.tw/query/classcour.asp,http://www.feu.edu.tw/adms/gao/%E7%B6%B2%E9%A0%811/buy-01.htm,http://www.feu.edu.tw/adms/acc/CFIDA/index.html
110,私立,技專校院,1053,光宇學校財團法人元培醫事科技大學,https://w3.ypu.edu.tw/yu/,https://ga.ypu.edu.tw/p/412-1013-665.php?Lang=zh-tw,https://info.ypu.edu.tw/
