學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),性別,申請延長修業年限因素之學生人數-小計,申請延長修業年限因素之學生人數-因畢業學分未修滿因素,申請延長修業年限因素之學生人數-因未通過畢業門檻(條件)因素,申請延長修業年限因素之學生人數-因修讀雙主修因素,申請延長修業年限因素之學生人數-因修讀輔系因素,申請延長修業年限因素之學生人數-因修讀跨校學位因素,申請延長修業年限因素之學生人數-因出國學習因素,申請延長修業年限因素之學生人數-因修讀教育學程(學分學程)因素,申請延長修業年限因素之學生人數-其他因素 
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),男,10,7,0,1,0,0,0,...,2
106,公立,一般大學,0003,國立臺灣大學,07112078,材料科學與工程學系,學士班(日間),女,4,3,0,0,0,0,1,...,0
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),男,64,51,0,2,2,0,3,...,6
106,公立,一般大學,0003,國立臺灣大學,07141064,電機工程學系,學士班(日間),女,5,3,0,0,1,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),男,41,33,0,5,0,0,3,...,0
106,公立,一般大學,0003,國立臺灣大學,07151069,機械工程學系,學士班(日間),女,1,1,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),男,7,7,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,07151072,生物產業機電工程學系,學士班(日間),女,4,1,0,1,0,0,0,...,2
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),男,10,10,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,07151082,工程科學及海洋工程學系,學士班(日間),女,1,1,0,0,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),男,33,23,0,3,2,0,3,...,2
106,公立,一般大學,0003,國立臺灣大學,07321074,土木工程學系,學士班(日間),女,3,2,0,1,0,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),男,13,5,0,3,3,0,0,...,2
106,公立,一般大學,0003,國立臺灣大學,07321075,生物環境系統工程學系,學士班(日間),女,4,1,0,2,1,0,0,...,0
106,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),男,7,5,0,0,1,0,0,...,1
106,公立,一般大學,0003,國立臺灣大學,08111087,農藝學系,學士班(日間),女,6,6,0,0,0,0,0,...,0
