學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,畢業總學分數
106,公立,一般大學,0005,國立成功大學,02311108,外國語文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,02321106,台灣文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,02322107,中國文學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,03111114,經濟學系,學士班(日間),75,28,0,25,128
106,公立,一般大學,0005,國立成功大學,03121115,政治學系,學士班(日間),76,28,0,24,128
106,公立,一般大學,0005,國立成功大學,03131117,心理學系,學士班(日間),73,28,0,27,128
106,公立,一般大學,0005,國立成功大學,04111120,會計學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,04131121,企業管理學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,04199057,工業與資訊管理學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,04211001,法律學系,學士班(日間),88,28,0,12,128
106,公立,一般大學,0005,國立成功大學,05111003,生命科學系,學士班(日間),103,28,1,0,132
106,公立,一般大學,0005,國立成功大學,05121008,生物科技與產業科學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,05311017,化學系,學士班(日間),100,28,0,0,128
106,公立,一般大學,0005,國立成功大學,05321019,地球科學系,學士班(日間),104,28,0,0,132
106,公立,一般大學,0005,國立成功大學,05331021,物理學系,學士班(日間),77,28,0,25,130
106,公立,一般大學,0005,國立成功大學,05411027,數學系,學士班(日間),88,28,0,12,128
106,公立,一般大學,0005,國立成功大學,05421029,統計學系,學士班(日間),104,28,0,0,132
106,公立,一般大學,0005,國立成功大學,06131036,資訊工程學系,學士班(日間),102,28,0,0,130
106,公立,一般大學,0005,國立成功大學,07111050,化學工程學系,學士班(日間),112,28,0,0,140
106,公立,一般大學,0005,國立成功大學,07112063,材料科學及工程學系,學士班(日間),102,28,0,0,130
