學年度,學期,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),進修交流國家(地區)別,進修交流國家(地區)區域別,本國學生出國進修交流至少1學期(修讀學分)以上人數小計,本國學生出國進修交流至少1學期(修讀學分)以上人數男,本國學生出國進修交流至少1學期(修讀學分)以上人數女,本國學生出國進修交流未滿1學期(修讀學分)人數小計,本國學生出國進修交流未滿1學期(修讀學分)人數男,本國學生出國進修交流未滿1學期(修讀學分)人數女
105,1,公立,一般大學,0001,國立政治大學,03121026,政治學系,學士班(日間),巴西聯邦共和國,中南美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),越南社會主義共和國,東協,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),大陸地區,大陸地區,3,1,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),澳大利亞,其他亞洲地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),日本,其他亞洲地區,2,2,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),大韓民國(南韓),其他亞洲地區,2,0,2,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),日本,其他亞洲地區,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),大韓民國(南韓),其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),捷克共和國,歐洲,2,2,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),西班牙王國,歐洲,2,1,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),瑞典王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),瑞士聯邦,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,碩士班(日間),西班牙王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122045,外交學系,學士班(日間),美國,北美洲,3,0,3,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03122046,國際研究英語碩士學位學程,碩士班(日間),德意志聯邦共和國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),列支敦斯登侯國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03131032,心理學系,學士班(日間),美國,北美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03141030,社會學系,學士班(日間),丹麥王國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03141030,社會學系,碩士班(日間),美國,北美洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03143023,中東與中亞研究碩士學位學程,碩士班(日間),以色列,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03143036,日本研究碩士學位學程,碩士班(日間),日本,其他亞洲地區,5,0,5,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),俄羅斯聯邦,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),法國,歐洲,2,2,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03143038,俄羅斯研究所,碩士班(日間),愛沙尼亞共和國,歐洲,1,1,0,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03143040,亞太研究英語博士學位學程,博士班,日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03191047,國家發展研究所,碩士班(日間),日本,其他亞洲地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03199048,勞工研究所,碩士班(日間),法國,歐洲,1,0,1,0,0,0
105,1,公立,一般大學,0001,國立政治大學,03211049,傳播學院傳播碩士學位學程,碩士班(日間),大陸地區,大陸地區,1,0,1,0,0,0
