,學年度,設立別 ,學校類別,學校代碼,學校名稱,系所代碼,系所名稱,學制,男,女,總計
,101,公立,一般大學,4,國立臺灣師範大學,520114,資訊工程學系學士班,學士班(日間),8,1,9
,101,公立,一般大學,4,國立臺灣師範大學,520142,應用電子科技學系學士班,學士班(日間),9,0,9
,101,公立,一般大學,4,國立臺灣師範大學,520221,機電科技學系學士班,學士班(日間),11,2,13
,101,公立,一般大學,4,國立臺灣師範大學,810302,運動競技學系學士班,學士班(日間),11,8,19
,101,公立,一般大學,5,國立成功大學,220101,台灣文學系,學士班(日間),4,7,11
,101,公立,一般大學,5,國立成功大學,220201,中國文學系,學士班(日間),5,19,24
,101,公立,一般大學,5,國立成功大學,220301,外國語文學系,學士班(日間),2,13,15
,101,公立,一般大學,5,國立成功大學,220901,歷史學系,學士班(日間),9,11,20
,101,公立,一般大學,5,國立成功大學,230303,工業設計學系,學士班(日間),12,8,20
,101,公立,一般大學,5,國立成功大學,310101,經濟學系,學士班(日間),5,6,11
,101,公立,一般大學,5,國立成功大學,310201,政治學系,學士班(日間),8,7,15
,101,公立,一般大學,5,國立成功大學,310501,心理學系學士班,學士班(日間),8,6,14
,101,公立,一般大學,5,國立成功大學,340201,會計學系,學士班(日間),1,3,4
,101,公立,一般大學,5,國立成功大學,340201,會計學系,學士班(進修),1,0,1
,101,公立,一般大學,5,國立成功大學,340301,企業管理學系,學士班(日間),5,4,9
,101,公立,一般大學,5,國立成功大學,349908,工業與資訊管理學系,學士班(日間),4,3,7
,101,公立,一般大學,5,國立成功大學,380101,法律學系,學士班(日間),11,2,13
,101,公立,一般大學,5,國立成功大學,420103,生命科學系,學士班(日間),5,4,9
,101,公立,一般大學,5,國立成功大學,440101,化學系,學士班(日間),10,0,10
,101,公立,一般大學,5,國立成功大學,440201,地球科學系,學士班(日間),6,0,6
,101,公立,一般大學,5,國立成功大學,440301,物理學系,學士班(日間),17,2,19
,101,公立,一般大學,5,國立成功大學,460101,數學系,學士班(日間),11,1,12
,101,公立,一般大學,5,國立成功大學,460201,統計學系,學士班(日間),9,6,15
,101,公立,一般大學,5,國立成功大學,520101,電機工程學系,學士班(日間),23,2,25
,101,公立,一般大學,5,國立成功大學,520106,光電工程學系,學士班(日間),12,0,12
,101,公立,一般大學,5,國立成功大學,520114,資訊工程學系,學士班(日間),19,0,19
,101,公立,一般大學,5,國立成功大學,520201,機械工程學系,學士班(日間),43,2,45
,101,公立,一般大學,5,國立成功大學,520205,航空太空工程學系,學士班(日間),11,2,13
,101,公立,一般大學,5,國立成功大學,520228,系統及船舶機電工程學系,學士班(日間),11,0,11
,101,公立,一般大學,5,國立成功大學,520301,土木工程學系,學士班(日間),26,1,27
,101,公立,一般大學,5,國立成功大學,520401,化學工程學系,學士班(日間),30,2,32
,101,公立,一般大學,5,國立成功大學,520502,材料科學及工程學系,學士班(日間),12,1,13
,101,公立,一般大學,5,國立成功大學,520513,資源工程學系,學士班(日間),5,2,7
,101,公立,一般大學,5,國立成功大學,520802,測量及空間資訊學系,學士班(日間),8,2,10
,101,公立,一般大學,5,國立成功大學,520901,環境工程學系,學士班(日間),4,2,6
,101,公立,一般大學,5,國立成功大學,521002,水利及海洋工程學系,學士班(日間),14,1,15
,101,公立,一般大學,5,國立成功大學,521002,水利及海洋工程學系,學士班(進修),1,0,1
,101,公立,一般大學,5,國立成功大學,521302,工程科學系,學士班(日間),9,0,9
,101,公立,一般大學,5,國立成功大學,580101,建築學系,學士班(日間),17,11,28
,101,公立,一般大學,5,國立成功大學,580301,都巿計劃學系,學士班(日間),3,4,7
,101,公立,一般大學,5,國立成功大學,720101,醫學系,學士班(日間),4,0,4
,101,公立,一般大學,5,國立成功大學,720401,物理治療學系,學士班(日間),8,4,12
,101,公立,一般大學,5,國立成功大學,720402,職能治療學系,學士班(日間),4,7,11
,101,公立,一般大學,5,國立成功大學,720601,護理學系,學士班(日間),0,3,3
,101,公立,一般大學,5,國立成功大學,720708,醫學檢驗生物技術學系,學士班(日間),3,1,4
,101,公立,一般大學,5,國立成功大學,840104,交通管理科學系,學士班(日間),3,7,10
,101,公立,一般大學,6,國立中興大學,220201,中國文學系學士班,學士班(日間),2,12,14
,101,公立,一般大學,6,國立中興大學,220201,中國文學系,學士班(進修),0,5,5
,101,公立,一般大學,6,國立中興大學,220301,外國語文學系學士班,學士班(日間),2,11,13
,101,公立,一般大學,6,國立中興大學,220301,外國語文學系,學士班(進修),2,4,6
,101,公立,一般大學,6,國立中興大學,220901,歷史學系學士班,學士班(日間),5,7,12
,101,公立,一般大學,6,國立中興大學,220901,歷史學系,學士班(進修),1,0,1
,101,公立,一般大學,6,國立中興大學,310102,應用經濟學系學士班,學士班(日間),5,4,9
,101,公立,一般大學,6,國立中興大學,340201,會計學系學士班,學士班(日間),2,2,4
,101,公立,一般大學,6,國立中興大學,340201,會計學系,學士班(進修),0,1,1
,101,公立,一般大學,6,國立中興大學,340301,企業管理學系學士班,學士班(日間),3,2,5
,101,公立,一般大學,6,國立中興大學,340301,企業管理學系,學士班(進修),6,0,6
,101,公立,一般大學,6,國立中興大學,340501,財務金融學系學士班,學士班(日間),5,3,8
,101,公立,一般大學,6,國立中興大學,340801,行銷學系學士班,學士班(日間),0,3,3
,101,公立,一般大學,6,國立中興大學,380101,法律學系學士班,學士班(日間),9,3,12
,101,公立,一般大學,6,國立中興大學,420103,生命科學系學士班,學士班(日間),9,3,12
,101,公立,一般大學,6,國立中興大學,420107,昆蟲學系學士班,學士班(日間),7,4,11
,101,公立,一般大學,6,國立中興大學,420302,生物科技學程學士學位學程,學士班(日間),1,1,2
,101,公立,一般大學,6,國立中興大學,440101,化學系學士班,學士班(日間),14,1,15
,101,公立,一般大學,6,國立中興大學,440301,物理學系學士班,學士班(日間),13,0,13
,101,公立,一般大學,6,國立中興大學,460102,應用數學系學士班,學士班(日間),6,2,8
,101,公立,一般大學,6,國立中興大學,480109,資訊管理學系學士班,學士班(日間),5,0,5
,101,公立,一般大學,6,國立中興大學,520101,電機工程學系學士班,學士班(日間),27,0,27
,101,公立,一般大學,6,國立中興大學,520119,資訊科學與工程學系學士班,學士班(日間),7,2,9
,101,公立,一般大學,6,國立中興大學,520201,機械工程學系學士班,學士班(日間),22,2,24
,101,公立,一般大學,6,國立中興大學,520239,生物產業機電工程學系學士班,學士班(日間),8,0,8
,101,公立,一般大學,6,國立中興大學,520301,土木工程學系學士班,學士班(日間),15,1,16
,101,公立,一般大學,6,國立中興大學,520401,化學工程學系學士班,學士班(日間),4,1,5
,101,公立,一般大學,6,國立中興大學,520502,材料科學與工程學系學士班,學士班(日間),3,2,5
,101,公立,一般大學,6,國立中興大學,520901,環境工程學系學士班,學士班(日間),8,0,8
,101,公立,一般大學,6,國立中興大學,580204,景觀與遊憩學程學士學位學程,學士班(日間),1,0,1
,101,公立,一般大學,6,國立中興大學,620102,農藝學系學士班,學士班(日間),6,7,13
,101,公立,一般大學,6,國立中興大學,620203,動物科學系學士班,學士班(日間),6,2,8
,101,公立,一般大學,6,國立中興大學,620301,園藝學系學士班,學士班(日間),3,1,4
,101,公立,一般大學,6,國立中興大學,620402,植物病理學系學士班,學士班(日間),2,2,4
,101,公立,一般大學,6,國立中興大學,620512,生物產業管理進修學士學位學程,學士班(進修),3,1,4
,101,公立,一般大學,6,國立中興大學,620605,食品暨應用生物科技學系學士班,學士班(日間),5,2,7
,101,公立,一般大學,6,國立中興大學,620701,水土保持學系學士班,學士班(日間),10,2,12
,101,公立,一般大學,6,國立中興大學,620802,土壤環境科學系學士班,學士班(日間),2,4,6
,101,公立,一般大學,6,國立中興大學,621001,森林學系,學士班(日間),5,3,8
,101,公立,一般大學,6,國立中興大學,640101,獸醫學系學士班,學士班(日間),8,1,9
,101,公立,一般大學,7,國立交通大學,220301,外國語文學系,學士班(日間),3,1,4
,101,公立,一般大學,7,國立交通大學,229901,人文社會學系,學士班(日間),4,3,7
,101,公立,一般大學,7,國立交通大學,320103,傳播與科技學系,學士班(日間),3,2,5
,101,公立,一般大學,7,國立交通大學,340306,管理科學系,學士班(日間),8,5,13
,101,公立,一般大學,7,國立交通大學,340511,資訊與財金管理學系,學士班(日間),1,3,4
,101,公立,一般大學,7,國立交通大學,420302,生物科技學系,學士班(日間),3,1,4
,101,公立,一般大學,7,國立交通大學,440102,應用化學系,學士班(日間),4,0,4
,101,公立,一般大學,7,國立交通大學,440303,電子物理學系,學士班(日間),15,0,15
,101,公立,一般大學,7,國立交通大學,460102,應用數學系,學士班(日間),16,0,16
,101,公立,一般大學,7,國立交通大學,520101,電機工程學系,學士班(日間),32,3,35
,101,公立,一般大學,7,國立交通大學,520103,電子工程學系,學士班(日間),22,0,22
,101,公立,一般大學,7,國立交通大學,520106,光電工程學系,學士班(日間),8,0,8
