,學年度,學校代碼,學校名稱,項目,累積餘絀比率(%),資產效益率(%),學雜費收入變動率(%),現金流量比率(%),速動比率(%),負債變動率(%),舉債指數
,,,,比值,92.8,4.4,-3.84,204.76,1672.28,5.18,0
,104,1182,蘭陽技術學院,燈號,●,●,●,●,●,●,
,,,,比值,94.61,0.45,-18.44,175.51,202.82,-10.68,0
,104,1183,黎明技術學院,燈號,●,●,●,●,●,●,
,,,,比值,74.27,12.03,1.47,208.56,147.83,-30.16,0
,104,1184,東方設計學院,燈號,●,●,●,●,●,●,
,,,,比值,95.07,-0.66,-1.57,105.96,379.49,23.6,0
,104,1185,經國管理暨健康學院,燈號,●,●,●,●,●,●,
,,,,比值,88.03,0.92,4.03,98.93,324.73,-26.67,0
,104,1187,崇右技術學院,燈號,●,●,●,●,●,●,
,,,,比值,87.56,1.64,-3.57,97.73,340.69,-8.55,0
,104,1188,大同技術學院,燈號,●,●,●,●,●,●,
,,,,比值,98.1,-3.38,-6.41,20.05,378.04,-3.75,0
,104,1189,亞太創意技術學院,燈號,●,●,●,●,●,●,
,,,,比值,83.65,-0.76,-23.19,16.55,10.97,-9.99,11.03
,104,1192,臺灣觀光學院,燈號,●,●,●,●,●,●,
,,,,比值,87.1,-1.32,-17.88,59.62,194.19,-17.15,0
,104,1197,台北海洋技術學院,燈號,●,●,●,●,●,●,
,,,,比值,72.96,5.59,1.37,110.42,143.25,-16.63,1.51
,104,1282,馬偕醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,78.69,2.38,3.31,186.04,422.27,-19.1,0
,104,1283,仁德醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.34,6.51,0.94,172.47,315.24,61.82,0
,104,1284,樹人醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.49,9.63,3.11,184.08,595.46,9.84,0
,104,1285,慈惠醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.46,8.25,0.52,196.86,392.15,-10.35,0
,104,1286,耕莘健康管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,65.85,4.7,2.11,143.39,340.37,-10.23,0.97
,104,1287,敏惠醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,77.26,8.49,-0.19,122.88,223.07,-8.83,0
,104,1288,高美醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,84.93,-5.84,-2.79,94.58,76.2,45.57,18.14
,104,1289,育英醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,83.84,5.48,0.73,178.8,476.32,-13.18,0
,104,1290,崇仁醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,89.85,3.52,2.74,302.05,561.12,14.28,0
,104,1291,聖母醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,77.12,6.53,-3.77,177.49,581.43,-10.79,0
,104,1292,新生醫護管理專科學校,燈號,●,●,●,●,●,●,
,,,,比值,77.82,4.62,2.44,96.55,125.84,-16.8,0
