學年度,設立別,學校類別,學校統計處代碼,學校名稱,學制班別,畢業生數小計,畢業生數男,畢業生數女,畢業生取得輔系資格人數小計,畢業生取得輔系資格人數男,畢業生取得輔系資格人數女,畢業生取得雙主修資格人數小計,畢業生取得雙主修資格人數男,畢業生取得雙主修資格人數女
105,公立,技專校院,0051,國立臺北商業大學,學士班(進修),560,154,406,...,...,...,...,...,...
105,公立,技專校院,0051,國立臺北商業大學,碩士班(日間),49,22,27,...,...,...,...,...,...
105,公立,技專校院,0051,國立臺北商業大學,碩士在職專班,9,6,3,...,...,...,...,...,...
105,公立,一般大學,0052,國立屏東大學,學士班(日間),1512,584,928,...,...,...,...,...,...
105,公立,一般大學,0052,國立屏東大學,學士班(進修),126,44,82,...,...,...,...,...,...
105,公立,一般大學,0052,國立屏東大學,碩士班(日間),234,92,142,...,...,...,...,...,...
105,公立,一般大學,0052,國立屏東大學,碩士在職專班,132,33,99,...,...,...,...,...,...
105,公立,一般大學,0052,國立屏東大學,博士班,9,8,1,...,...,...,...,...,...
105,公立,技專校院,0144,國立臺灣戲曲學院,學士班(日間),98,35,63,...,...,...,...,...,...
105,公立,技專校院,0144,國立臺灣戲曲學院,學士班(進修),23,8,15,...,...,...,...,...,...
105,公立,技專校院,0221,國立臺南護理專科學校,二專(日間),46,1,45,...,...,...,...,...,...
105,公立,技專校院,0221,國立臺南護理專科學校,二專(進修),36,3,33,...,...,...,...,...,...
105,公立,技專校院,0221,國立臺南護理專科學校,五專,325,13,312,...,...,...,...,...,...
105,公立,技專校院,0222,國立臺東專科學校,二專(日間),193,119,74,...,...,...,...,...,...
105,公立,技專校院,0222,國立臺東專科學校,二專(進修),36,19,17,...,...,...,...,...,...
105,公立,技專校院,0222,國立臺東專科學校,五專,77,41,36,...,...,...,...,...,...
105,私立,一般大學,1001,東海大學,學士班(日間),3021,1263,1758,...,...,...,...,...,...
105,私立,一般大學,1001,東海大學,學士班(進修),72,31,41,...,...,...,...,...,...
105,私立,一般大學,1001,東海大學,碩士班(日間),402,223,179,...,...,...,...,...,...
105,私立,一般大學,1001,東海大學,碩士在職專班,173,75,98,...,...,...,...,...,...
105,私立,一般大學,1001,東海大學,博士班,18,9,9,...,...,...,...,...,...
105,私立,一般大學,1002,輔仁大學,學士班(日間),4077,1595,2482,...,...,...,...,...,...
105,私立,一般大學,1002,輔仁大學,學士班(進修),910,297,613,...,...,...,...,...,...
105,私立,一般大學,1002,輔仁大學,碩士班(日間),619,280,339,...,...,...,...,...,...
105,私立,一般大學,1002,輔仁大學,碩士在職專班,445,179,266,...,...,...,...,...,...
105,私立,一般大學,1002,輔仁大學,博士班,50,29,21,...,...,...,...,...,...
105,私立,一般大學,1003,東吳大學,學士班(日間),2638,1033,1605,...,...,...,...,...,...
105,私立,一般大學,1003,東吳大學,學士班(進修),201,69,132,...,...,...,...,...,...
105,私立,一般大學,1003,東吳大學,碩士班(日間),287,118,169,...,...,...,...,...,...
