99學年度畢業生102年薪資年學校代碼,99學年度畢業生102年薪資年學校名稱,99學年度畢業生102年薪資年體系別,99學年度畢業生102年薪資年公私立,99學年度畢業生102年薪資年畢業年,99學年度畢業生102年薪資年薪資年,99學年度畢業生102年薪資年等級別,99學年度畢業生102年薪資年學制別,99學年度畢業生103年薪資年學校代碼,99學年度畢業生103年薪資年學校名稱,99學年度畢業生103年薪資年體系別,99學年度畢業生103年薪資年公私立,99學年度畢業生103年薪資年畢業年,99學年度畢業生103年薪資年薪資年,99學年度畢業生103年薪資年等級別,99學年度畢業生103年薪資年學制別,100學年度畢業生103年薪資年學校代碼,100學年度畢業生103年薪資年學校名稱,100學年度畢業生103年薪資年體系別,100學年度畢業生103年薪資年公私立,100學年度畢業生103年薪資年畢業年,100學年度畢業生103年薪資年薪資年,100學年度畢業生103年薪資年等級別,100學年度畢業生103年薪資年學制別
1034,弘光科技大學,技職,私立,99,102,碩士,在職專班,1033,長榮大學,一般,私立,99,103,博士,35歲以上,1033,長榮大學,一般,私立,100,103,博士,35歲以上
1035,中國醫藥大學,一般,私立,99,102,博士,未滿35歲,1034,弘光科技大學,技職,私立,99,103,碩士,在職專班,1034,弘光科技大學,技職,私立,100,103,碩士,在職專班
1035,中國醫藥大學,一般,私立,99,102,博士,35歲以上,1035,中國醫藥大學,一般,私立,99,103,博士,未滿35歲,1035,中國醫藥大學,一般,私立,100,103,博士,未滿35歲
1035,中國醫藥大學,一般,私立,99,102,碩士,在職專班,1035,中國醫藥大學,一般,私立,99,103,博士,35歲以上,1035,中國醫藥大學,一般,私立,100,103,博士,35歲以上
1036,健行科技大學,技職,私立,99,102,碩士,在職專班,1035,中國醫藥大學,一般,私立,99,103,碩士,在職專班,1035,中國醫藥大學,一般,私立,100,103,碩士,在職專班
1036,健行科技大學,技職,私立,99,102,專科,日間學制,1036,健行科技大學,技職,私立,99,103,碩士,在職專班,1036,健行科技大學,技職,私立,100,103,專科,日間學制
1037,正修科技大學,技職,私立,99,102,碩士,在職專班,1036,健行科技大學,技職,私立,99,103,專科,日間學制,1037,正修科技大學,技職,私立,100,103,碩士,在職專班
1040,建國科技大學,技職,私立,99,102,專科,日間學制,1037,正修科技大學,技職,私立,99,103,碩士,在職專班,1037,正修科技大學,技職,私立,100,103,專科,進修學制
1041,明志科技大學,技職,私立,99,102,碩士,在職專班,1040,建國科技大學,技職,私立,99,103,專科,日間學制,1038,萬能科技大學,技職,私立,100,103,碩士,日間學制
1041,明志科技大學,技職,私立,99,102,專科,日間學制,1041,明志科技大學,技職,私立,99,103,碩士,在職專班,1040,建國科技大學,技職,私立,100,103,專科,日間學制
1041,明志科技大學,技職,私立,99,102,專科,進修學制,1041,明志科技大學,技職,私立,99,103,專科,日間學制,1041,明志科技大學,技職,私立,100,103,碩士,在職專班
1043,大仁科技大學,技職,私立,99,102,碩士,日間學制,1041,明志科技大學,技職,私立,99,103,專科,進修學制,1041,明志科技大學,技職,私立,100,103,專科,進修學制
1043,大仁科技大學,技職,私立,99,102,碩士,在職專班,1043,大仁科技大學,技職,私立,99,103,碩士,日間學制,1043,大仁科技大學,技職,私立,100,103,碩士,在職專班
1043,大仁科技大學,技職,私立,99,102,專科,進修學制,1043,大仁科技大學,技職,私立,99,103,碩士,在職專班,1046,中國科技大學,技職,私立,100,103,專科,日間學制
1046,中國科技大學,技職,私立,99,102,碩士,日間學制,1043,大仁科技大學,技職,私立,99,103,專科,進修學制,1046,中國科技大學,技職,私立,100,103,專科,進修學制
1046,中國科技大學,技職,私立,99,102,專科,日間學制,1046,中國科技大學,技職,私立,99,103,碩士,日間學制,1047,中臺科技大學,技職,私立,100,103,專科,日間學制
1046,中國科技大學,技職,私立,99,102,專科,進修學制,1046,中國科技大學,技職,私立,99,103,專科,進修學制,1051,台南應用科技大學,技職,私立,100,103,專科,進修學制
1047,中臺科技大學,技職,私立,99,102,專科,日間學制,1047,中臺科技大學,技職,私立,99,103,專科,日間學制,1052,遠東科技大學,技職,私立,100,103,專科,日間學制
1051,台南應用科技大學,技職,私立,99,102,碩士,日間學制,1051,台南應用科技大學,技職,私立,99,103,碩士,日間學制,1053,元培醫事科技大學,技職,私立,100,103,碩士,在職專班
1051,台南應用科技大學,技職,私立,99,102,碩士,在職專班,1051,台南應用科技大學,技職,私立,99,103,碩士,在職專班,1054,景文科技大學,技職,私立,100,103,碩士,日間學制
1052,遠東科技大學,技職,私立,99,102,專科,日間學制,1052,遠東科技大學,技職,私立,99,103,專科,日間學制,1054,景文科技大學,技職,私立,100,103,碩士,在職專班
1053,元培醫事科技大學,技職,私立,99,102,碩士,在職專班,1053,元培醫事科技大學,技職,私立,99,103,碩士,在職專班,1055,中華醫事科技大學,技職,私立,100,103,碩士,日間學制
1054,景文科技大學,技職,私立,99,102,碩士,日間學制,1054,景文科技大學,技職,私立,99,103,碩士,日間學制,1056,東南科技大學,技職,私立,100,103,碩士,日間學制
1055,中華醫事科技大學,技職,私立,99,102,碩士,日間學制,1055,中華醫事科技大學,技職,私立,99,103,碩士,日間學制,1056,東南科技大學,技職,私立,100,103,碩士,在職專班
1056,東南科技大學,技職,私立,99,102,碩士,在職專班,1056,東南科技大學,技職,私立,99,103,碩士,在職專班,1056,東南科技大學,技職,私立,100,103,專科,日間學制
1056,東南科技大學,技職,私立,99,102,專科,日間學制,1056,東南科技大學,技職,私立,99,103,專科,日間學制,1057,德明財經科技大學,技職,私立,100,103,碩士,日間學制
1056,東南科技大學,技職,私立,99,102,專科,進修學制,1056,東南科技大學,技職,私立,99,103,專科,進修學制,1057,德明財經科技大學,技職,私立,100,103,專科,進修學制
1057,德明財經科技大學,技職,私立,99,102,碩士,日間學制,1057,德明財經科技大學,技職,私立,99,103,專科,日間學制,1058,明道大學,一般,私立,100,103,碩士,在職專班
1057,德明財經科技大學,技職,私立,99,102,專科,日間學制,1058,明道大學,一般,私立,99,103,碩士,在職專班,1060,南開科技大學,技職,私立,100,103,碩士,日間學制
1058,明道大學,一般,私立,99,102,碩士,在職專班,1060,南開科技大學,技職,私立,99,103,碩士,在職專班,1060,南開科技大學,技職,私立,100,103,專科,日間學制
